VARIANT_SKU, NORMALIZED_ROS 
D119003-02, 0.18 
B86011-20, 2.50 
00004556-002-FL-M-005-B2, 0.00 
R120037-02, 0.04 
R141017-04, -   
SimpSienThr, 0.14 
R120017-08, 0.07 
B86013-08, 0.44 
B121013-03, 0.01 
00004556-002-QU-M-005-B3, 0.02 
B121008-04,
D129004-01, 0.70 
B86012-32, 0.22 
B86013-10, 0.27 
B86012-26, 0.67 
B66001-01, 0.95 
B86007-29, 0.29 
D120010-01, 0.13 
B86028-03, 0.24 
A65000-05, 0.01 
B86038-01, 0.18 
B86008-26, 1.10 
D121017-06,
D104005-01, 0.68 
R88036-02, 0.03 
B86013-21, 1.00 
B86017-27, 0.01 
R141009-08, 0.00 
R133003-01, 0.00 
00004556-008-TW-S-006-B2, -   
D62005-01,
R93005-01, 0.08 
B15211-02, 0.19 
B121017-02, 0.11 
C82003-01, 0.22 
R120043-07,
R120015-05, 0.06 
00004556-005-FL-S-001-B2, -   
R93032-08, 0.03 
B86003-09, 0.41 
B86020-21,
R93044-05, 0.00 
R120008-01,
00004556-002-TW-M-004-B1, 0.01 
00004556-003-QU-W-007-B3, 0.00 
D84001-01-Q6,
R93016-03, 0.08 
TP13001-01-Q4, 0.01 
R141007-05, 0.01 
T58011-01, 0.28 
00004556-003-FL-W-005-B1, -   
D104001-02, 1.93 
01027841-012-CK-A-000, -   
SWA-JB-005, 0.78 
00004556-003-KI-W-002-B2, -   
R133004-02, 0.03 
00004556-008-TW-S-002-B3, -   
R84011-04,
00004556-002-FL-W-003-B3, -   
R141006-07, 0.03 
R141028-07, 0.00 
R106004-06,
0118316-011-LG-S-004, 0.03 
R106003-02,
00004556-001-CK-M-007-B1, -   
P120001-01-C, 0.83 
B15215-08, 0.38 
R88020-04, 0.03 
R61011-01, 0.02 
D116003-01, -   
00004556-008-TW-S-005-B1, -   
00004556-008-FL-S-005-B3, -   
00004556-002-CK-M-005-B3, 0.00 
R88019-04, 0.07 
00004556-003-TW-M-002-B2, -   
00004556-003-KI-W-003-B2, -   
R120020-05, 0.00 
P56074-01-C, 0.34 
R120028-06,
A65000-01, -   
00004556-007-FL-S-007-B1, -   
B86013-19, 0.23 
R120039-07, 0.05 
SWA-JB-002, 1.11 
P84013-01-C, 1.04 
00004556-007-QU-S-001-B3, 0.00 
D84002-01-Q6,
R120049-03, 0.06 
00004556-007-CK-S-004-B3, 0.00 
B86017-18, 0.03 
P84055-01-C, 0.26 
B86015-01, 0.31 
00004556-005-QU-S-007-B2, -   
R151015-01, 0.03 
P123006-05-C, 0.19 
00004556-003-FL-M-004-B2, -   
D140031-01, 0.29 
D129005-01, 0.14 
00004556-002-QU-W-007-B3, -   
B121011-03, 0.01 
00004556-002-FL-W-004-B3, -   
00004556-009-FL-S-006-B1, -   
P56069-01-C, 0.56 
R126004-02,
R114003-01, 0.01 
00004556-002-FL-M-005-B3, 0.00 
00004556-002-CK-M-003-B2, -   
R126001-04,
P84043-05-C, 0.20 
B121019-01, 0.08 
R121002-07, 0.02 
B86016-10, 0.03 
00004556-009-CK-S-001-B1, -   
B121006-03,
D155001-02, 0.13 
B86018-22,
00004556-007-KI-S-005-B2, -   
R61006-01,
00004556-003-TW-M-006-B2, -   
00004556-002-FL-W-005-B2, 0.02 
R61013-02, 0.02 
00004556-001-KI-M-006-B2, -   
R141001-08, 0.04 
B86015-29, 0.24 
00004556-003-TW-W-001-B3, -   
00004556-007-CK-S-002-B2, -   
C97004-03, 0.03 
00004556-005-QU-S-004-B1, 0.01 
B86010-24,
R88033-03,
P56035-01-C, 0.25 
00004556-002-FL-W-006-B1, 0.00 
P58015-02-C, 0.29 
R54004-01, 0.02 
00004556-006-KI-S-006-B2, 0.01 
P84019-03-C, 0.19 
00004556-005-FL-S-002-B2, -   
P84010-02-C, 0.55 
00004556-009-TW-S-001-B3, -   
B86009-22,
P84040-01-C,
00004556-002-TW-M-004-B2, 0.01 
R120035-07, 0.09 
D121015-02, 0.90 
B86021-26,
00004556-003-CK-M-005-B1, -   
00004556-009-QU-S-005-B2, -   
P126001-01-C, 0.05 
00004556-003-QU-W-003-B3, -   
P122006-01-C,
00004556-007-FL-S-004-B2, -   
00004556-001-QU-M-005-B1, -   
B86009-05, 0.23 
R106001-08,
00004556-002-QU-W-005-B2, -   
00004556-003-CK-W-002-B1, -   
P20001-05, 11.80 
D121018-01, 0.58 
B86012-30, 0.37 
C11002-02, 0.30 
P84075-01-C, 1.00 
D121014-01, 0.64 
R00002-10, 1.15 
B117001-08, 0.69 
R106005-04, 0.00 
D143014-08, 0.37 
R88020-01, 0.03 
00004556-005-KI-S-001-B3, 0.01 
B86017-17, 0.03 
R88027-03, 0.01 
R120025-05, 0.00 
P56060-02-C, 0.32 
00004556-007-TW-S-004-B3, -   
R133004-01, 0.01 
00004556-006-TW-S-007-B1, -   
00004556-001-CK-M-007-B2, -   
P84044-04-C, 0.20 
00004556-006-QU-S-006- B1, -   
D121005-01, 0.34 
R88037-02, 0.01 
D140023-01, 0.38 
B121027-04, 0.18 
00004556-002-CK-M-004-B1, -   
B86102-05,
00004556-001-FL-W-005-B2, -   
B86012-24,
R88011-03, 0.02 
00004556-001-KI-M-006-B3, -   
00004556-003-FL-W-007-B1, -   
B15220-04, 0.49 
R120011-01,
B86002-30, 0.37 
00004556-002-FL-W-006-B3, 0.00 
B10003-01,
B121021-03, 0.23 
P58015-01-C, 0.25 
00004556-001-TW-W-005-B3, -   
R141027-05, 0.12 
B86019-22,
00004556-007-CK-S-007-B2, 0.00 
SWA-CRY-014, 0.16 
R141017-01, 0.10 
00004556-008-CK-S-007-B2, -   
aqoe-rustic-dipping, 0.32 
0118316-014-U-M-003, 0.00 
R120048-06, 0.08 
P84067-01-C, 0.14 
00004556-008-CK-S-006-B3, -   
00004556-003-CK-W-007-B2, -   
P123011-02-C, 0.12 
D104002-03, 1.26 
F137001-05, 0.24 
P120007-02-C, 0.35 
00004556-007-FL-S-001-B3, -   
R93043-07, 0.00 
D119007-02, 0.17 
A65001-01, -   
B132002-03, 0.24 
A65094-01, -   
B15201-02, 0.00 
B117001-39, 0.24 
P54010-02-C, 0.98 
B15210-06, 0.15 
B121020-01, 0.05 
B86101-05,
B15213-01, 0.10 
B86008-33, 0.22 
B86010-16, 0.54 
D73007-01, 0.01 
B86023-09,
P56037-04-C, 0.23 
B86100-14, 0.01 
B86018-21,
B86009-21,
01027841-012-CK-B-001, 0.01 
00004556-005-CK-S-005-B1, -   
00004556-001-TW-M-006-B1, -   
D154003-01, 0.11 
D140022-01, 0.22 
R88008-04, 0.07 
B86016-33, 0.06 
P120015-02-C, 0.23 
00004556-001-QU-W-003-B1, -   
00004556-006-TW-S-007-B2, -   
00004556-003-TW-M-005-B1, -   
P056073-01-C, 0.30 
B86020-08, 0.03 
00004556-009-QU-S-004-B1, 0.01 
00004556-006-QU-S-007- B3, -   
P56050-02-C, 2.00 
B121008-03,
00004556-002-TW-W-004-B1, -   
R120052-01, 0.09 
01027841-012-TW-A-001, 0.00 
B86012-07, 0.53 
R126007-02, 0.00 
R88006-03, 1.00 
C79005-01, 0.45 
B15220-02, 0.42 
01027841-015-U-W-001, 0.01 
A65076-01, -   
B86011-24,
B121007-04, 1.00 
D104010-02, 1.33 
C10001-02-B, -   
R120034-06,
P56036-02-C, 0.14 
00004556-001-QU-M-006-B1, -   
B86100-21, 0.04 
B86030-03, 0.22 
R120016-07, 0.00 
B86011-26, 0.61 
B15212-07, 0.31 
00004556-002-QU-M-006-B3, 0.01 
B15222-04, 0.19 
P56073-01-C, 0.12 
R54014-03, 0.09 
B86007-02, 0.07 
B15222-02, 0.14 
B86032-01,
P15001-02-C, 1.33 
SWA-JB-003, 0.92 
B15204-06, 0.96 
TP70001-02-Q4, 0.42 
R141004-01, 0.09 
B121020-04, 0.07 
0118316-009-U-W-007, 0.00 
B86015-16, 0.54 
R88015-01,
01027841-014-QU-B-002, -   
R120024-01,
R120043-08,
ODST-SF-DN-S2-A2-C0-RM-TK,
D121002-02,
00004556-001-FL-W-003-B3, -   
PM0002-GW-2, 0.03 
R93014-01, 0.01 
R84001-05,
R106003-03,
D121001-02,
D84008-03-Q6, 0.11 
D150005-01, 0.24 
R120020-01, 0.07 
R88033-07, 0.00 
R141002-05, 0.06 
R120015-01, 1.00 
P84061-01-C, 0.42 
00004556-003-CK-W-001-B1, 0.00 
B121019-03, 0.13 
B86022-07,
00004556-008-QU-S-007-B1, -   
B121012-01, 0.25 
00004556-005-FL-S-005-B3, -   
00004556-006-KI-S-005-B2, -   
R93040-04, 0.09 
00004556-005-TW-S-002-B2, -   
B121004-02, 0.02 
00004556-001-KI-W-001-B2, 0.01 
P56056-01-C, 0.03 
R93006-01, 0.04 
00004556-004-QU-S-002-B1, 0.00 
D86004-01,
B86001-32, 0.05 
R93022-07, 0.07 
00004556-001-TW-M-005-B3, -   
R93012-03, 0.13 
00004556-003-KI-M-005-B1, -   
B86001-17,
R88026-02,
B121025-02, 0.23 
B15204-02, 0.99 
D142001-02,
P112006-01-C, 1.00 
R61009-02,
R54008-02, 0.03 
R88038-03, 0.00 
00004556-004-TW-S-006-B2, -   
A65086-01,
R88030-05, 0.00 
R120003-08, 0.02 
B86017-29, 0.01 
B120003-02, 0.45 
R120027-06, 0.02 
R93012-07, 0.09 
B86103-23,
R106003-04, 0.03 
00004556-007-QU-S-002-B3, -   
P84018-05-C, 0.43 
P120003-04-C, 1.50 
D119020-01, 0.12 
R00002-05, 1.80 
R106005-07,
R120005-04, 0.06 
R120015-02, 0.02 
B86100-25, -   
B15208-03, 0.10 
R120008-04, 0.00 
C97005-03, 0.09 
R93046-04, 0.03 
P141011-01-C, 0.22 
00004556-006-QU-S-004 - B1, 0.01 
D140020-01, 0.10 
R88036-05, 0.02 
00004556-005-CK-S-007-B1, -   
R120030-07,
SWA-CRY-003, 0.20 
B86018-05, 0.37 
SWA-LIB-0002,
R93031-05, 0.01 
P84055-03-C, 0.24 
00004556-003-FL-W-003-B3, -   
R106005-05, 0.00 
00004556-001-TW-W-002-B3, -   
P120010-02-C, 0.72 
R133001-01, 0.05 
B121010-02, 0.07 
B117001-32, 0.47 
00004556-001-FL-W-004-B3, -   
B117001-26, 1.02 
R93045-02, 0.01 
R88029-04, 0.01 
00004556-007-CK-S-007-B1, 0.00 
D124001-02-K,
00004556-003-KI-W-006-B1, 0.01 
00004556-005-KI-S-002-B3, -   
T58024-02, 0.09 
P84067-02-C, 0.47 
T84011-01,
00004556-002-CK-W-004-B1, -   
R88023-04, 0.04 
C83003-01, 0.06 
R120038-09, 0.00 
P56032-02-C, 0.12 
P84018-04-C, 0.43 
A65069-01, 0.02 
B100005-01,
P84037-02-C,
D84020-01, 0.39 
R93036-06, 0.02 
R93044-01, 0.01 
B15203-05, 0.12 
00004556-003-CK-M-001-B1, -   
B86041-01, 0.12 
00004556-003-KI-W-003-B3, -   
T58012-01, 0.06 
00004556-005-KI-S-006-B2, 0.00 
P56048-01-C, 0.31 
00004556-002-FL-M-004-B2, -   
0118316-015-U-M-004, -   
B86014-05, 0.29 
D119011-01, 0.15 
D84022-01, 0.14 
B121016-02, 0.18 
00004556-009-KI-S-007-B1, -   
P61001-01-C, 0.02 
P56046-01-C, 0.34 
B86021-16,
00004556-002-KI-M-001-B1, 0.07 
B121006-02,
P56055-01-C, 0.05 
B121022-03,
B15211-05, 0.21 
00004556-002-FL-W-002-B3, -   
R93036-07, 0.01 
00004556-007-KI-S-006-B3, -   
R120013-06, 0.02 
0118316-010-U-W-004, 0.03 
P120002-02-C, 0.60 
B60008-01, 0.59 
B86026-02, 0.29 
P141007-01-C, 0.19 
00004556-002-CK-W-007-B1, -   
P58005-01-C, 0.02 
00004556-002-TW-M-004-B3, 0.01 
B121026-14, 0.33 
B121004-01, 0.01 
D121006-01, 0.89 
D140014-01,
B15203-08, 0.14 
T84012-01,
R93003-04, 0.03 
00004556-006-CK-S-006-B1, 0.00 
01027841-012-CK-W-000, 0.00 
00004556-006-CK-S-006-B3, 0.00 
0118316-015-U-M-006, -   
D090011-01, 0.06 
P120011-01-C, 0.70 
B117001-04, 0.67 
R00002-02, 0.47 
00004556-009-TW-S-004-B2, -   
P56029-01-C, 0.56 
00004556-001-CK-W-001-B2, -   
00004556-001-CK-M-003-B2, -   
R141005-05, 0.04 
T58040-01, 0.25 
R120026-04,
00004556-007-KI-S-005-B1, -   
P56068-01-C, 0.03 
01027841-014-CK-A-002, -   
R120038-06, 0.08 
R54025-02,
R120011-04, 0.02 
R88032-07, 0.00 
D120007-02, 0.82 
0118316-005-U-S-009, -   
B121010-05, 0.01 
B86011-33, 0.14 
B86010-08, 0.43 
00004556-001-TW-M-007-B2, -   
R120010-01, 0.50 
R88036-06, 0.06 
R120018-07,
B15218-02, 0.51 
R93013-04, 0.01 
R93037-07, 0.02 
R120037-03, 0.04 
00004556-001-KI-W-004-B3, 0.00 
R93044-07, 0.00 
B86015-20,
01027841-012-QU-A-001, 0.02 
00004556-002-KI-W-004-B3, 0.03 
B117001-34, 0.34 
