VARIANT_SKU, NORMALIZED_ROS 
00004556-006-FL-S-004-B1, 0.01 
00004556-006-FL-S-005-B3, -   
B84001-02, 0.72 
P84017-02-C, 0.20 
B121006-05, 0.06 
D86004-02,
A65093-01, 0.01 
R93022-06, 0.04 
D121003-02,
00004556-006-QU-S-005- B1, -   
00004556-003-FL-M-005-B3, -   
B145001-02, 1.20 
D121014-03, 0.65 
00004556-005-TW-S-005-B3, -   
R126008-01,
P84056-04-C, 0.42 
00004556-004-TW-S-005-B1, -   
R93016-06, 0.12 
R120036-04, 0.01 
B86009-09, 0.29 
B86008-04, 0.34 
B117001-38, 0.28 
B86022-32, 0.23 
B112002-02,
A65071-01, -   
B86028-01, 0.10 
B86013-32, 0.13 
R158003-03, 0.03 
A65000-13, 0.01 
00004556-003-QU-M-001-B1, 0.00 
00004556-001-FL-W-007-B1, -   
C97007-02, 0.17 
P120014-02-C, 0.32 
B86037-02, 0.12 
B60009-01, 0.29 
B86010-07, 0.36 
D115003-01, 0.06 
P20001-31, 0.55 
A65000-14, 0.01 
B86016-01, 0.15 
B86012-20,
P20001-24, 9.79 
B86001-27, 0.11 
A65062-01,
B86012-05, 0.55 
B86003-16, 1.19 
R126003-02, 0.03 
B86033-03, 0.10 
00004556-007-FL-S-005-B3, -   
D104010-01, 2.42 
D84017-01, 0.22 
B86003-29, 0.42 
B121008-01, 0.17 
B15211-03, 0.20 
D115002-01, 0.05 
B15223-05, 0.26 
B86026-03, 0.46 
A65000-06, 0.01 
B86037-03, 0.17 
A65078-01, 0.01 
B86007-09, 0.43 
B86035-02,
B15210-07, 0.22 
R120012-04, 1.00 
D62019-02, 1.16 
R120012-05, 1.19 
R84002-03,
C79003-02,
R93007-05,
R88015-04,
R126007-01, 0.01 
B15211-08, 0.23 
R88030-01, 0.10 
R171017-01, 0.06 
D70005-02-P, 1.50 
D121020-07, 1.00 
R120031-04,
R56002-02, 0.02 
R120038-05, 0.04 
P84037-01-C, 0.09 
B86018-16, 0.23 
00004556-003-QU-W-004-B2, 0.00 
00004556-007-CK-S-006-B3, 0.01 
B86019-01, 0.21 
R141003-01, 0.03 
P120009-02-C, 0.57 
R141004-06, 0.03 
00004556-008-FL-S-007-B1, -   
R93010-09, 0.04 
00004556-002-FL-W-003-B1, -   
D124002-02-Q2,
R61011-02, 0.04 
B15215-06, 0.15 
P141003-02-C, 0.04 
R88038-05,
B86100-20, 0.05 
B86102-23,
B15215-05, 0.16 
D84003-02-Q6,
00004556-006-CK-S-001-B3, -   
D121013-03, 1.00 
R54009-01,
R141007-08, 0.05 
R120018-05,
B86101-20,
00004556-008-QU-S-007-B3, -   
00004556-002-KI-W-006-B1, 0.01 
R88033-06,
R120005-06, 0.12 
R141005-08, 0.02 
00004556-004-KI-S-004-B1, 0.01 
R88015-05,
R93041-04, 0.01 
R93033-06, 0.02 
00004556-003-FL-W-001-B2, -   
00004556-009-KI-S-006-B2, 0.01 
P84037-05-C, 0.15 
D121002-03, 2.38 
R120049-07, 0.02 
00004556-008-KI-S-006-B1, -   
00004556-003-TW-M-003-B2, -   
B144004-02, 0.39 
B86002-29, 0.58 
D116006-01, 0.15 
P84036-01-C, 0.03 
D86003-03, 1.00 
B60002-01,
R133002-03, 0.01 
D74004-02, 0.07 
00004556-001-CK-W-002-B1, -   
R151015-08, 0.01 
00004556-002-CK-W-004-B3, -   
00004556-001-FL-M-007-B1, -   
00004556-003-TW-M-007-B2, -   
R141004-03, 0.06 
P122002-01-C,
00004556-009-TW-S-005-B2, -   
R120036-01, 0.01 
00004556-002-CK-W-006-B1, 0.00 
P56054-02-C,
00004556-003-CK-M-006-B1, 0.00 
D84008-01-Q6, 0.08 
00004556-006-CK-S-004-B2, 0.01 
R120021-04,
P84059-01-C, 0.67 
P120003-06-C, 0.86 
R120017-07,
F148001-Q, 0.17 
00004556-002-CK-W-005-B1, -   
00004556-004-CK-S-004-B2, -   
P63003-02-U,
B86102-22,
00004556-006-KI-S-004-B3, 0.01 
00004556-006-KI-S-002-B3, 0.00 
0118316-009-U-W-005, -   
00004556-003-CK-W-004-B1, -   
00004556-002-QU-M-006-B1, 0.01 
R61011-04, 0.01 
R93022-01, 0.03 
D121016-07,
R88013-03, 0.01 
R141007-06, 0.03 
B121002-04,
00004556-007-QU-S-005-B3, -   
01027841-012-FL-A-000, -   
F148002-01-B2, 0.19 
P84012-06-C, 0.02 
00004556-002-CK-W-003-B3, -   
00004556-004-FL-S-001-B2, -   
B86020-27, 0.02 
P56059-01-C,
R88037-01, 0.03 
B86019-09, 0.12 
PM1001-55,
D86001-10, 0.22 
SWA-LIB-0005, 1.00 
B86103-04, 0.00 
R93012-09, 0.08 
00004556-001-QU-M-006-B2, -   
D62022-01, 0.15 
00004556-006-QU-S-005- B2, -   
00004556-009-KI-S-005-B1, -   
D086001-03, 0.31 
00004556-001-TW-W-001-B2, -   
P141009-01-C, 0.47 
P84022-01-C, 0.15 
00004556-008-KI-S-007-B1, -   
00004556-001-FL-M-004-B1, -   
B86008-24, 0.04 
P68007-01-C, 0.17 
P56059-02-C,
R88014-02,
B86001-02, 0.07 
R120025-03, 0.01 
00004556-003-QU-M-007-B2, -   
R93016-09, 0.07 
00004556-001-KI-M-007-B2, 0.00 
00004556-003-CK-W-001-B3, 0.00 
00004556-001-CK-M-001-B1, 0.00 
P120013-02-C, 0.13 
00004556-005-FL-S-006-B3, -   
B13401-02, 0.24 
0118316-015-U-W-005, -   
00004556-006-TW-S-002-B3, -   
00004556-003-CK-W-004-B3, -   
00004556-001-TW-M-004-B1, -   
D115006-02, 0.07 
R88018-04, 0.03 
P123009-02-C, 0.49 
R93041-05, 0.02 
R120039-05, 0.02 
P120001-02-C, 0.60 
00004556-002-CK-M-001-B3, 0.02 
R88027-05, 0.01 
00004556-001-TW-W-001-B3, -   
00004556-003-FL-M-004-B3, -   
00004556-009-TW-S-005-B3, -   
P126008-01-C, 0.64 
00004556-003-TW-M-007-B3, -   
R120002-04, 0.02 
00004556-003-FL-W-006-B1, -   
ODST-OT-DN-S0-A0-C1-SA-TK, 1.00 
00004556-002-QU-M-002-B2, -   
P120001-03-C, 0.34 
B117001-07, 0.65 
D157001-04, 0.15 
R61012-03, 0.04 
00004556-002-FL-M-002-B2, 0.00 
D121014-02, 0.65 
D086002-03, 0.31 
C97007-03, 0.12 
R88027-06, 0.00 
00004556-006-QU-S-001- B1, 0.00 
00004556-001-TW-W-003-B3, -   
P56040-02-C,
R92001-02, 1.00 
P84054-03-C, 0.35 
R88023-05, 0.04 
R00002-03,
00004556-007-CK-S-001-B3, -   
R93016-04, 0.16 
00004556-005-CK-S-002-B1, -   
B15216-03, 0.12 
00004556-002-FL-M-002-B1, 0.00 
B86102-04,
B86021-27,
R88032-05,
R141026-05, 0.02 
R93033-08, 0.00 
B15214-06, 0.01 
P84012-02-C, 0.34 
R141011-08, 0.03 
01027841-013-U-W-000, 0.19 
B15208-06, 0.14 
P141004-01-C, 0.04 
00004556-002-FL-W-004-B2, -   
00004556-001-QU-M-005-B2, -   
P126007-03-C, 0.24 
00004556-007-TW-S-006-B2, -   
T139003-01, 0.16 
00004556-002-TW-M-005-B1, -   
B86010-30, 0.58 
R61009-04, 0.01 
B121017-01, 0.10 
B86017-09, 0.02 
01027841-012-CK-A-001, -   
00004556-008-CK-S-006-B1, -   
P122003-01-C, 0.05 
00004556-003-KI-M-001-B1, 0.00 
R120002-01, 0.02 
00004556-001-CK-W-002-B2, -   
SWA-CRY-007, 0.38 
R84010-02,
00004556-005-TW-S-007-B2, -   
C10001-01-C,
B121011-04,
00004556-004-QU-S-004-B1, 0.00 
R93016-02, 0.04 
00004556-006-FL-S-004-B3, 0.01 
B66002-02, 0.84 
00004556-002-KI-W-003-B3, -   
B86002-18, 0.29 
B15212-02, 0.24 
R54014-01, 0.08 
002560062-017-U-S-007, 0.00 
P120012-04-C, 0.29 
00004556-008-QU-S-006-B2, -   
P56037-01-C, 0.34 
B86011-22,
D86001-05, 0.21 
B86007-32, 0.18 
SKU 1, -   
B86012-01, 0.51 
002560062-016-U-S-006, -   
F97014-01, 0.05 
R120041-05,
R88036-01, 0.02 
ODST-SL-DN-S5-A2-C0-SA-TK,
B86008-17,
00004556-002-KI-M-005-B3, 0.01 
B86002-04, 0.38 
A65016-01, -   
D150006-01, 0.06 
R120042-02,
B86008-02, 0.09 
B15219-01, 0.59 
B86012-16, 0.75 
D121007-01, 0.60 
B86013-20, 1.00 
A65068-01, 0.02 
B15213-05, 0.10 
B86009-32, 0.15 
R120052-03, 0.22 
D84021-02, 0.10 
R121003-05, 0.00 
R120052-02, 0.28 
P120015-01-C, 0.29 
A65000-15, -   
C79005-02, 0.39 
00004556-002-FL-W-007-B2, -   
B86012-33, 0.13 
B86013-16, 0.48 
B86034-01, 0.05 
B86033-01, 0.07 
P120002-06-C, 0.70 
P20001-23, 7.25 
D104011-01, 2.65 
B86003-05, 0.62 
B86011-19, 0.28 
B66009-01, 1.06 
A65000-12, -   
B86003-33, 0.18 
B15213-03, 0.07 
B86029-03, 0.24 
T123001-01, 1.13 
D120001-02, 1.53 
D84021-01, 0.43 
P68005-02-C, 1.00 
R120012-02, 1.00 
D86006-01,
B86100-02, -   
D115010-01, 0.11 
R161016-03, 0.26 
R120042-03,
D116001-03, 0.25 
R93022-09, 0.02 
R126007-03, 0.00 
D97001-02, 0.19 
T143001-01, 0.81 
B121027-01, 0.27 
00004556-003-FL-M-001-B2, -   
B86020-20, 0.02 
D150007-01, 0.07 
00004556-003-CK-M-003-B1, -   
B86018-20,
R88005-01, 0.02 
B86020-04, 0.01 
00004556-002-TW-W-006-B3, -   
B86030-02, 0.18 
0118316-014-U-M-007, 0.01 
R120020-02, 0.01 
B86015-17,
00004556-003-CK-W-006-B1, -   
00004556-002-KI-W-002-B3, 0.01 
00004556-007-CK-S-002-B1, -   
F147001-01, 0.62 
R93014-06, 0.01 
B86012-02, 0.16 
00004556-006-FL-S-006-B3, -   
P67003-01-C,
B86018-27, 0.13 
01027841-012-KI-A-000, -   
00004556-005-TW-S-004-B3, -   
00004556-001-CK-M-001-B2, 0.00 
B15214-04, 0.02 
00004556-002-QU-W-004-B3, 0.02 
R120027-07, 0.02 
00004556-001-QU-W-001-B3, -   
00004556-007-QU-S-006-B2, -   
D126001-07, 0.12 
B86009-17,
R120035-08, 0.03 
D120008-01, 1.02 
P123008-01-C, 0.06 
P84058-01-C, 0.04 
R120009-01, 0.01 
D86002-02, 1.00 
3230025, 1.00 
SWA-LIB-0003, 1.00 
D129002-02, 0.43 
P84036-02-C,
P58006-01-C,
R61007-01,
R126008-02,
B86001-06, 0.06 
00004556-009-FL-S-005-B2, -   
R161016-08, 0.00 
00004556-002-FL-M-003-B1, -   
R93034-06, 0.03 
00004556-006-KI-S-006-B1, 0.01 
R120034-07,
C84004-01,
P56062-01-C, 0.18 
B86010-10, 0.25 
00004556-001-FL-W-002-B2, -   
P84018-02-C, 0.35 
00004556-001-FL-W-001-B3, -   
00004556-004-KI-S-002-B1, 0.01 
B121016-01, 0.22 
00004556-002-CK-M-007-B1, 0.01 
B86007-17,
D104006-01, 0.36 
R141010-10, 0.05 
SWA-CRY-013, 0.35 
R120016-04, 0.02 
R133004-03, 0.03 
R120048-01, 0.02 
R120013-05, 0.03 
01027841-014-CK-W-002, 0.00 
R141008-08, 0.01 
R93039-08, -   
00004556-005-KI-S-001-B1, 0.01 
D86005-02,
R141019-06, 0.02 
D115009-01, 0.17 
B86012-17,
R88006-02,
D119010-02, 0.18 
T84009-02, 0.66 
00004556-004-QU-S-006-B2, -   
R120027-05, 0.03 
P81011-01-C, 0.22 
00004556-002-TW-M-006-B2, -   
00004556-002-FL-W-002-B1, -   
B86102-02,
D121013-01, 0.21 
B86017-01, 0.03 
00004556-005-CK-S-007-B3, -   
D140008-04,
0118316-011-SM-S-007, 0.01 
D148004-01, 0.28 
00004556-005-FL-S-004-B1, 0.00 
P123002-01-C, 0.29 
B144003-02, 0.32 
B132003-03, 0.28 
B121021-04, 0.15 
00004556-007-KI-S-002-B2, 0.00 
P84058-02-C, 1.00 
00004556-001-QU-M-002-B2, -   
R61011-03, 0.02 
B15207-05, 0.41 
D73011-01,
00004556-001-KI-W-003-B3, -   
R93032-06, 0.11 
R93017-06,
B86010-09, 0.34 
B86016-30, 0.10 
D121016-03, 0.95 
B15209-02, 0.28 
0118316-005-U-S-007, 0.01 
00004556-005-FL-S-005-B2, -   
R141006-05, 0.04 
P120010-04-C, 1.57 
00004556-002-QU-W-007-B1, -   
R141014-03, 0.06 
00004556-005-FL-S-006-B1, -   
R88028-06,
00004556-001-KI-M-004-B3, 0.01 
00004556-004-FL-S-001-B1, -   
00004556-001-CK-W-002-B3, -   
PM1001-10,
R88003-07,
SWA-CRY-009, 0.53 
R93029-06, 0.01 
SWA-CRY-008, 0.44 
00004556-007-TW-S-005-B2, -   
R88008-02,
00004556-007-KI-S-001-B1, -   
00004556-006-CK-S-002-B3, 0.00 
00004556-002-TW-W-005-B2, -   
B86020-22,
D104002-02, 0.79 
00004556-002-TW-M-003-B1, -   
R126007-04,
00004556-003-FL-M-002-B1, -   
00004556-008-FL-S-005-B1, -   
01027841-012-QU-W-000, 0.00 
0118316-011-SM-S-004, 0.16 
T12002-09,
00004556-002-CK-W-007-B2, -   
R93043-08, 0.01 
00004556-005-TW-S-006-B2, -   
00004556-006-FL-S-002-B1, -   
R88018-06, 0.05 
D123002-02, 0.05 
R120049-05, 0.02 
P56070-01-C,
D086001-05, 1.04 
00004556-003-CK-W-004-B2, -   
01027841-014-TW-W-002, -   
R88034-04,
C116001-01,
00004556-003-KI-M-003-B2, -   
B15204-04, 0.77 
F137001-02, 0.07 
B86020-19, 0.01 
R141029-07, 0.05 
T139001-01, 1.05 
00004556-008-TW-S-007-B1, -   
00004556-006-KI-S-001-B2, 0.01 
D121021-03, 0.52 
B86015-27, 0.21 
00004556-001-FL-W-006-B2, -   
00004556-006-KI-S-002-B2, 0.00 
B86038-02, 0.14 
B86018-17,
D62003-01, 0.18 
B15221-05, 1.00 
B145002-02, 1.09 
C113004-02-S, -   
R93046-01, 0.05 
D119005-03,
R141006-08, 0.01 
B86100-09, 0.00 
00004556-003-TW-W-004-B1, -   
D104009-01, 3.13 
P123009-01-C, 0.49 
B86019-20,
A65091-01,
00004556-007-KI-S-004-B2, 0.01 
R93037-06, 0.04 
B15213-07, 0.23 
00004556-003-FL-W-003-B1, -   
00004556-003-TW-W-003-B1, -   
0118316-007-U-W-004, -   
R141021-07, -   
00004556-002-CK-M-004-B3, -   
00004556-001-QU-W-003-B2, -   
T123002-02, 0.21 
00004556-008-TW-S-001-B2, -   
00004556-001-KI-W-001-B3, 0.01 
B121027-03, 0.16 
D119016-02, 0.04 
00004556-003-TW-M-004-B3, -   
B86017-04, 0.03 
R141014-07, 0.01 
B132001-01, 0.31 
R54015-02, 0.08 
00004556-001-FL-M-002-B2, -   
B86103-25, 0.00 
R93018-01, 0.03 
R93022-08, 0.04 
0118316-011-MD-S-006, 0.04 
B86100-08, 0.00 
B125004-01, 0.24 
D73001-01-M, 0.03 
00004556-003-QU-M-002-B3, -   
002560062-015-U-S-007, -   
R54029-02, 0.10 
P84044-01-C, 0.16 
R88034-05,
R120006-06, 0.04 
B86021-04, 0.07 
00004556-002-KI-W-006-B3, 0.01 
R120006-07, 0.03 
T56007-01, 0.22 
D90001-01, 0.16 
00004556-003-TW-M-002-B1, -   
R93037-05, 0.04 
00004556-003-QU-W-004-B3, 0.00 
D121005-02, 0.24 
00004556-004-FL-S-007-B1, -   
F148002-01-B1, 0.19 
00004556-005-CK-S-007-B2, -   
P58014-02-C, 0.40 
00004556-003-TW-W-006-B3, -   
B86103-13, 0.04 
R120027-03, 0.01 
B86007-10, 0.39 
B86002-26, 0.72 
P84072-02-C, 0.32 
B86010-33, 0.19 
00004556-007-CK-S-005-B1, -   
D086001-02, 0.26 
R93014-04, 0.01 
00004556-004-CK-S-006-B1, -   
00004556-006-TW-S-002-B1, -   
R93038-06, 0.05 
D120001-01, 1.57 
00004556-005-CK-S-001-B3, -   
D97001-01, 0.18 
00004556-009-FL-S-005-B1, -   
D84011-01, 0.37 
00004556-002-QU-W-002-B1, -   
0118316-014-U-M-004, 0.01 
R120053-10, 0.02 
00004556-005-TW-S-002-B3, -   
R88001-05, 0.07 
00004556-007-TW-S-007-B2, -   
R93003-03, 0.05 
D73002-01,
00004556-003-QU-W-005-B1, -   
B86003-01, 0.93 
D121007-04, 0.48 
R161016-07, 0.03 
B121013-01, 0.17 
B86007-06, 0.25 
00004556-003-KI-W-003-B1, -   
00004556-009-CK-S-002-B3, -   
R158001-14, 0.03 
B86003-06, 0.32 
A65034-01, -   
T58041-01, 0.26 
R93039-06, 0.04 
P126011-01-C, 0.74 
B121012-03,
B86013-07, 0.38 
R93039-07, 0.01 
B86016-32, 0.11 
D143007-03, 0.78 
D119014-01, 0.06 
D119005-01,
GC0001-01, 1.26 
aqoe-rustic-campmug, 0.71 
B100001-02, 0.69 
D10501-01,
D84008-01, 0.15 
B131002-01, 0.18 
D119006-01, 0.03 
A65061-01,
B86012-29, 0.41 
P20001-25, 8.88 
B86001-19, 0.06 
B86002-05, 0.62 
A65096-01, -   
D121003-04, 0.39 
B86008-01, 0.40 
B86003-31, 0.48 
B86011-16, 0.37 
T123001-02, 1.26 
B15221-04, 0.40 
B86003-26, 0.62 
R120051-04, 0.02 
A65000-11, -   
R120012-01, 1.13 
B121004-03, 0.01 
R88003-04,
0118316-015-U-M-007, 0.01 
R88018-08, 0.01 
B121027-02, 0.35 
00004556-005-TW-S-007-B3, -   
D116005-02, 0.13 
S83006-02,
B121017-04, 0.14 
R88022-05, 0.01 
R120028-04,
SWA-MG-001, 0.14 
B86015-09, 0.55 
R120042-08, 0.02 
B121005-02,
R00002-08, 0.02 
R93041-01, 0.07 
B15201-06, 0.01 
B86016-09, 0.07 
00004556-001-CK-M-005-B2, -   
00004556-002-CK-W-001-B1, 0.01 
D150003-02, 0.08 
F151001-01, 0.12 
00004556-009-CK-S-002-B2, -   
00004556-003-TW-W-005-B3, -   
00004556-005-CK-S-005-B2, -   
00004556-002-TW-M-007-B3, -   
00004556-008-KI-S-002-B2, -   
T12002-02, 0.10 
00004556-003-KI-W-005-B3, -   
R126002-02, 0.00 
R120040-06, 0.04 
R93010-02, 0.04 
00004556-005-CK-S-006-B3, -   
00004556-005-CK-S-004-B3, -   
00004556-009-QU-S-006-B1, 0.00 
R94001-01,
B86021-10,
00004556-001-KI-M-006-B1, -   
002560062-014-U-S-007, -   
D62006-01,
B86100-01, 0.00 
R54030-01, 0.02 
B86103-14, 0.01 
R120006-08, 0.01 
00004556-008-FL-S-006-B3, -   
R126005-01, 0.02 
P84069-01-C, 0.18 
F147003-01, 0.35 
R93019-05, 0.05 
SWA-REG-0001, 0.44 
00004556-003-TW-W-001-B2, -   
00004556-004-TW-S-001-B2, -   
A65000-19, 0.02 
C11002-01, 0.36 
00004556-003-KI-M-001-B3, 0.00 
00004556-001-CK-M-004-B1, -   
P126005-01-C, 0.07 
00004556-002-KI-W-007-B3, 0.01 
0118316-014-U-W-003, -   
B86103-10, 0.00 
R120030-05,
B121004-04, 0.02 
00004556-001-KI-W-001-B1, 0.01 
00004556-001-KI-W-005-B3, -   
00004556-002-KI-W-005-B2, 0.01 
B86015-08, 0.42 
R141005-06, 0.07 
00004556-003-KI-M-002-B1, -   
R120002-02, 0.02 
R120041-08,
00004556-003-TW-W-002-B1, -   
B86012-04, 0.35 
D104001-03, 0.35 
R120032-08,
00004556-008-FL-S-002-B3, -   
00004556-003-QU-W-004-B1, 0.00 
P84020-04-C, 0.50 
R120010-05,
P84019-02-C, 0.03 
00004556-008-QU-S-006-B1, -   
D119010-01, 0.16 
00004556-001-CK-W-007-B3, -   
P123006-04-C, 0.26 
00004556-008-CK-S-005-B2, -   
00004556-005-KI-S-002-B1, -   
R61007-03,
R84008-07, 0.01 
B15215-02, 0.15 
ODST-AC-DN-S1-A2-C0-RM-TK, 1.00 
R88017-06, 0.13 
B66009-03, 0.61 
D154005-01, 0.29 
R93010-07, 0.12 
R106001-01,
00004556-003-TW-M-006-B3, -   
P56068-02-C,
D120001-05, 1.79 
R93041-02, 0.01 
D143014-07, 0.21 
P84016-01-C, 0.22 
R88036-08, 0.04 
B15214-02, 0.01 
00004556-006-FL-S-007-B2, -   
00004556-003-QU-W-003-B2, -   
B86101-16,
00004556-003-KI-M-007-B2, -   
00004556-009-QU-S-007-B2, 0.01 
R88001-06, 0.01 
00004556-007-TW-S-007-B1, -   
00004556-003-KI-W-001-B1, 0.01 
00004556-009-QU-S-004-B3, 0.01 
D086001-06, 0.77 
B86010-17, 1.00 
00004556-003-TW-M-002-B3, -   
00004556-004-FL-S-005-B2, -   
D121021-01, 0.29 
P56037-02-C, 0.45 
T58046-01, 0.59 
0118316-010-U-W-008, 0.01 
00004556-008-TW-S-001-B3, -   
00004556-003-FL-W-006-B3, -   
B86019-33, 0.05 
R120022-06, 0.00 
00004556-005-FL-S-001-B3, -   
P84046-01-C, 0.57 
00004556-001-FL-W-002-B3, -   
R93010-03, 0.04 
B120008-01, 0.39 
B86019-17,
00004556-001-KI-W-007-B3, -   
P84069-02-C, 0.54 
R88014-03,
00004556-001-CK-W-006-B1, -   
B120009-01, 0.21 
00004556-002-KI-W-001-B1, 0.03 
R84008-03, 0.06 
D119003-01, 0.14 
B121020-03, 0.15 
R88017-07, 0.03 
00004556-003-TW-W-005-B1, -   
00004556-005-FL-S-007-B1, -   
TP13007-01-Q6, 0.22 
R126001-02,
R120019-01, 0.08 
P84010-01-C, 0.04 
01027841-014-FL-B-002, -   
00004556-008-KI-S-005-B2, -   
T139007-01, 0.28 
B86010-21,
B15204-05, 1.01 
00004556-009-CK-S-006-B2, -   
B86102-10,
B15214-07, 0.02 
R120018-03, 0.11 
00004556-005-KI-S-004-B2, 0.02 
D157001-01, 0.12 
00004556-006-TW-S-001-B1, -   
P54006-01-C, 0.18 
00004556-001-FL-W-006-B3, -   
R61007-04,
00004556-002-CK-M-003-B3, -   
R120015-07, 0.03 
B86103-19, 0.03 
00004556-009-QU-S-001-B2, 0.01 
00004556-002-FL-W-005-B1, 0.02 
D121016-05,
D73007-02, 0.01 
B131001-01, 0.19 
D140009-01, 0.11 
T56004-02, 0.31 
R141026-01, 0.11 
R88024-02, 0.04 
R141011-07, 0.05 
00004556-003-QU-W-003-B1, -   
00004556-009-QU-S-002-B2, -   
R93014-02, 0.01 
00004556-004-KI-S-006-B1, 0.01 
00004556-001-QU-M-001-B3, 0.01 
00004556-007-KI-S-006-B2, -   
R93019-03, 0.18 
00004556-009-QU-S-001-B1, 0.01 
P84045-03-C, 0.01 
D086002-01, 0.13 
00004556-009-KI-S-005-B3, -   
00004556-001-FL-W-006-B1, -   
R141020-02,
B86014-16, 0.36 
01027841-012-TW-W-001, -   
R88037-05, 0.02 
F97022-02, 0.10 
F97020-02,
B121021-05, 0.20 
D155001-03, 0.21 
B86014-06, 0.49 
00004556-006-TW-S-005-B2, -   
B86014-10, 0.32 
P56015-02-C,
R120003-06, 0.04 
00004556-008-QU-S-001-B3, -   
B117001-41, 0.15 
SWA-WD-0002, 0.24 
B121004-05, 0.01 
P68007-02-C, 0.03 
B15202-02, 0.14 
C97003-01, 0.13 
002560062-018-U-S-004, 0.01 
B144004-03, 0.28 
R88009-01,
00004556-009-KI-S-007-B3, -   
B15208-01, 0.27 
00004556-008-KI-S-001-B3, 0.01 
00004556-003-TW-M-007-B1, -   
00004556-006-TW-S-005-B3, -   
R126001-03,
D84018-01,
00004556-006-QU-S-002 - B2, -   
00004556-001-FL-M-002-B3, -   
F97020-01,
D90004-01, 0.23 
R88028-03,
00004556-001-QU-M-007-B1, -   
B86013-27, 0.39 
D78001-01, 0.21 
A65008-01, 0.02 
B121002-03, 0.38 
B86011-27, 0.36 
D116006-03, 0.12 
002560062-018-U-S-007, -   
B86001-07, 0.06 
B112003-01,
R120013-02, 0.04 
B86040-02, 0.34 
R93044-03,
D90000-01, 0.16 
B15214-05, 0.02 
R120030-04,
B15216-01, 0.58 
S104001-01, 0.33 
R93041-06, 0.02 
B144004-04, 0.23 
B86002-32, 0.51 
TP70002-01-Q4, 0.17 
R54013-02, 0.10 
00004556-009-KI-S-004-B3, 0.02 
P120018-01-C, 0.44 
00004556-003-CK-M-004-B3, -   
00004556-003-FL-W-007-B3, -   
B86011-29, 0.30 
P56076-01-C, 0.59 
B66001-03, 0.49 
B121001-04, 0.05 
D10027-01,
F137001-06, 0.23 
B116001-01, 0.28 
B86003-27, 1.03 
B86010-01, 0.28 
A65000-04, -   
B86011-31, 0.29 
B121008-02,
B15223-04, 0.17 
D121010-04, 0.46 
B132002-01, 0.26 
B121012-05, 0.12 
D121014-04, 0.83 
D121020-02, 0.99 
B86009-26, 0.52 
B86002-16, 1.34 
P120016-02-C, 0.43 
B132002-02, 0.41 
B86008-05, 0.50 
aqoe-rustic-spoon, 0.66 
R120043-06,
T58050-01, 0.25 
C79005-03, 0.13 
B121022-02, 1.00 
R84010-03,
D104003-01, 0.28 
T84010-02, 0.31 
S104004-01, 0.09 
0118316-006-U-S-007, 0.00 
B86014-01, 0.25 
B15208-08, 0.40 
R141003-07, 0.01 
B86021-07,
R120002-03, 0.02 
R120038-03, 0.02 
R54018-01, 0.07 
B86020-32,
R120043-05, 1.00 
R120025-04, 0.00 
P120001-05-C, 0.53 
00004556-003-FL-W-001-B3, -   
R88029-02, 0.02 
P58009-01-C, 0.31 
R93033-05, 0.03 
B86010-05, 0.31 
P156002-02-C, 0.22 
00004556-001-TW-M-001-B3, -   
00004556-001-TW-M-001-B2, -   
00004556-004-CK-S-001-B2, -   
P56071-02-C, 0.05 
B121009-01,
00004556-002-QU-W-004-B1, 0.02 
00004556-009-TW-S-004-B3, -   
D84018-03, 0.10 
R120031-05,
B86015-30, 0.65 
R88019-02, 1.00 
R93040-08, 0.00 
00004556-007-KI-S-001-B2, -   
00004556-001-CK-M-005-B3, -   
00004556-007-TW-S-002-B3, -   
R171017-03, 0.05 
R141019-08, 0.00 
R61009-05, 0.04 
R88022-01, 0.14 
R120049-08, 0.02 
00004556-001-FL-W-001-B1, -   
B86001-20,
P120010-05-C, 1.68 
B86009-24, 0.09 
R88010-04,
P84056-03-C, 0.51 
B86010-02, 0.05 
D10026-03,
00004556-007-QU-S-007-B3, 0.01 
SWA-LIB-0004, 0.27 
P81010-01-C, 1.00 
R141014-01, 0.02 
R120023-03,
R61015-02, 0.02 
P56057-02-C, 0.02 
B86002-22,
B121010-04,
002560062-014-U-S-005, -   
UWWBASKTRLNATOS, -   
B86017-20,
00004556-001-CK-M-007-B3, -   
00004556-002-QU-W-001-B1, 0.01 
00004556-002-TW-W-001-B2, -   
B86103-16,
00004556-001-KI-W-002-B3, -   
T58038-01, 0.68 
R141017-08, 0.08 
002560062-017-U-S-005, 0.01 
PM1001-20,
B86007-30, 0.47 
00004556-004-CK-S-007-B1, -   
B86103-07, 0.01 
R120046-08, 0.03 
SWA-MG-002, 0.16 
00004556-005-TW-S-007-B1, -   
D121020-05,
B121005-04, 0.25 
B86019-30, 0.09 
00004556-009-FL-S-001-B1, -   
D121012-02,
00004556-002-FL-M-001-B3, 0.00 
B121021-01, 0.16 
00004556-001-CK-W-004-B2, -   
B86027-02, 0.03 
00004556-003-FL-M-003-B2, -   
00004556-002-QU-M-003-B2, -   
D141001-08, 0.02 
R00002-09, 0.56 
R93035-08, 0.02 
B84004-03, 0.79 
B121005-03,
R121002-08, 0.00 
P56075-01-C, 0.12 
SWA-CRY-005, 0.52 
D140005-03,
00004556-004-QU-S-005-B1, -   
F97022-01, 0.12 
B86015-02, 0.14 
