SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
00004556-003-KI-M-002-B1,Ridge Bed - KI-M-002 - HB,FURNITURE,BEDS,MAPLE,RIDGE,KING,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1185,1185,
D70002-01-P,Cantaro Pot - Small - Terracotta - Pot,ACCENTS,PLANTERS,TERRACOTTA,CANTARO,,ACCENTS - PLANTERS & VASES,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,199,Tributo,46.59,46.59,
B86101-20,Stonewashed Linen Bed Bundle (S/7) - Queen - Horizon Series,BEDDING,BED BUNDLES,HORIZON - CAMEL & SAND STRIPE,STONEWASHED LINEN,QUEEN,BEDDING - SHEETS ETC.,2021 SPRING BEDDING,2021-04-07 00:00:00.000,ARCHIVED,ARCHIVED,657,Sampedro,202.17,202.17,
00004556-001-TW-M-004-B2,Laurel Bed - Tall - TW-M-004 - FB,FURNITURE,BEDS,MAPLE,LAUREL,TWIN,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,298,298,
PROD-004,PRODUCT SAMPLE 4,Z. MISCELLANEOUS,PRODUCT SAMPLES,,PRODUCT SAMPLES,,Z. MISC,,,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,,Made and Modern,0,0,
P84034-01-C,Chand Lumbar Pillow - 12x48 - Latte - Cover,PILLOWS,OVERSIZED LUMBARS,LATTE,CHAND,"12"" x 48""",PILLOWS - OVERSIZED LUMBARS,2021 SPRING,2021-03-11 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,159,Gitto,16.8,16.8,
00004556-005-QU-S-006-B1,ALPINE BED - LOW - QU-S-006 - HB,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,628,628,
00004556-009-FL-S-002-B3,SIERRA BED - FL-S-002 - SR/SL,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,390,390,
D121010-02-Q2,Aegean Cotton Towels - 2 Hand Towels - Black,BATH,TOWEL : HAND TOWEL,BLACK,AEGEAN,,BATH - TOWELS,2022 AEGEAN,2022-02-23 00:00:00.000,ARCHIVED,ARCHIVED,58,Veritas,13.9,13.9,
P141005-01-C,Alani Lumbar Pillow - 12x20 - Spice - Cover,PILLOWS,SMALL LUMBARS,SPICE,ALANI,"12"" x 20""",PILLOWS - ACCENT,2023 SPRING,2023-04-11 00:00:00.000,ARCHIVED,ARCHIVED,179,Ock Pop Tok,49,49,
00004556-001-QU-W-005-B2,LAUREL BED - TALL - QU-W-005 - FB,FURNITURE,BEDS,,LAUREL,QUEEN,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,442,442,
D121014-04-Q2,Organic Plush Towels - 2 Face Towels - Charcoal,BATH,TOWEL : FACE TOWEL,CHARCOAL,ORGANIC PLUSH,,BATH - TOWELS,2024 SPRING,,ARCHIVED,ARCHIVED,28,Veritas,5.1,5.1,
00004556-006-FL-S-006-B1,ALPINE BED - MEDIUM - FL-S-006 - HB,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,658,658,
D119008-02,Tikal  Wood Tray - Round - Large - Granadillo,TABLEWARE,SERVEWARE,GRANADILLO,TIKAL,,TABLEWARE,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,189,"Itza Wood, SA",53.8,53.8,
P84021-01-C,Prisha Linen Pillow - 20x20 - Charcoal - Cover,PILLOWS,SQUARE,CHARCOAL,PRISHA,"20"" x 20""",PILLOWS - ACCENT,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,99,Textile Artisans Guild aka Poornima,9,9,
