SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
FAB-JB-003,Fabric - 1 Yard - Cotton Velvet - Eucalyptus,FURNITURE,FABRIC,EUCALYPTUS,CUSTOM FURNITURE,,FURNITURE - STOCKED,2023 FALL,2023-09-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,JB Martin,20.25,20.25,
B86002-02-K,Stonewashed Linen Bed Bundle (S/7) - Queen - Sundown Series,BEDDING,BED BUNDLES,SUNDOWN,STONEWASHED LINEN,QUEEN,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
R93036-08,Bhakti Area Rug - 10x14 - Midnight,RUGS,AREA,MIDNIGHT,BHAKTI,10' x 14',RUGS - AREA + ROUND,2024 SPRING,2024-03-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1599,Qayyum,266.3,266.3,
D127001-02-Q2,Linen Stocking,ACCENTS,HOLIDAY,,,,HOLIDAY,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,165,,,0,
00004556-001-CK-W-005-B3,LAUREL BED - TALL - CK-W-005 - SR/SL,FURNITURE,BEDS,,LAUREL,CAL-KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,326,326,
P84071-01-C,"Ayana Block Print Pillow - Aegean - 22""",PILLOWS,SQUARE,AEGEAN,AYANA,"22"" x 22""",PILLOWS - ACCENT,2025 SUMMER,2025-08-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,Gitto,21.5,21.5,
00004556-009-CK-S-004-B3,SIERRA BED - CK-S-004 - SR/SL,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,420,420,
R141010-05,Lata Hand-Knotted Area Rug - 6x9 - Ecru,RUGS,AREA,ECRU,LATA,6' x 9',RUGS - AREA + ROUND,2024 SPRING,,ARCHIVED,PD - CANCELLED,999,RMC,283.5,283.5,
00004556-005-CK-S-007-B3,ALPINE BED - LOW - CK-S-007 - SR/SL,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,420,420,
D12801-01,Book - Sunday Suppers,ACCENTS,BOOKS,,,,ACCENTS - BOOKS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
T72001-01,Atacama Alpaca Throw,BLANKETS,THROWS : ALPACA,CHARCOAL,ATACAMA,,BLANKETS - THROWS,2019 CHILE,2019-06-25 00:00:00.000,ARCHIVED,ARCHIVED,299,Fundacion Artesanias de Chile,123,123,
00004556-008-KI-S-007-B2,SUMMIT BED - KI-S-007 - FB,FURNITURE,BEDS,,SUMMIT,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,395,395,
D142001-03,Beeswax Taper Candles - S/2 - Latte,ACCENTS,CANDLES/CANDLEHOLDERS,LATTE,ACCESSORIES,,ACCENTS - CANDLE & DEC-ACC,2023 HOLIDAY,2023-10-12 00:00:00.000,ARCHIVED,ARCHIVED,29,Coutume,7.6,7.6,
00004556-003-KI-W-003-B2,Ridge Bed - KI-W-003 - FB,FURNITURE,BEDS,WALNUT,RIDGE,KING,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1330,1330,
00004556-001-CK-W-005-B2,LAUREL BED - TALL - CK-W-005 - FB,FURNITURE,BEDS,,LAUREL,CAL-KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,549,549,
D84015-01,Inika Kantha Quilt - Blush,BEDDING,QUILTS,BLUSH,INIKA KANTHA,,BEDDING - QUILTS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,130,,,0,
D62012-01-K,Sahar Bath Set - Ivory & Black,BATH,TOWEL : BATH TOWEL SET,,,,BATH - TOWELS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
D121014-02,Organic Plush Towels - 1 Bath Towel - Charcoal,BATH,TOWEL : BATH TOWEL,CHARCOAL,ORGANIC PLUSH,,BATH - TOWELS,2024 SPRING,2024-03-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,44,Veritas,10.73,10.73,
R93001-04,Anik Recycled Area Rug - 5x8 - Clay,RUGS,AREA,CLAY,ANIK,5' x 8',RUGS - AREA + ROUND,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
B86016-08-K,Stonewashed Linen Bed Bundle (S/7) - Cal-King - Sand Stripe,BEDDING,BED BUNDLES,SAND THIN STRIPE,STONEWASHED LINEN,CAL-KING,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
R61001-02,Amal Beni Ourain Area Rug - 8x10,RUGS,AREA,CREAM,AMAL,8' x 10',RUGS - AREA + ROUND,2017 MORROCCO,2017-03-10 00:00:00.000,ARCHIVED,ARCHIVED,2299,Anou (MAD),1006.87,103.923167434,
B121005-02,Organic Resort Cotton Fitted Sheet - Queen - Sand Stripe,BEDDING,FITTED SHEETS,SAND STRIPE,ORGANIC RESORT COTTON,QUEEN,BEDDING - SHEETS ETC.,2020 TURKEY,2020-10-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,139,Veritas,44.63,44.63,
00004556-001-CK-M-001-B3,Laurel Bed - Tall - CK-M-001 - SR/SL,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,307,307,
00004556-006-KI-S-006-B2,ALPINE BED - MEDIUM - KI-S-006 - FB,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,352,352,
PROD-008,PRODUCT SAMPLE 8,Z. MISCELLANEOUS,PRODUCT SAMPLES,,PRODUCT SAMPLES,,Z. MISC,,,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,,Made and Modern,0,0,
00004556-002-CK-M-002-B2,Laurel Bed - Low - CK-M-002 - FB,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,413,413,
01027841-012-TW-B-001,Potomac Two-Poster Bed - Black Ash - TW-B-001,FURNITURE,BEDS,,POTOMAC,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,3299,Gat Creek,1241,1241,
00004556-009-TW-S-001-B1,SIERRA BED - TW-S-001 - HB,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,676,676,
B86015-28,Stonewashed Linen Quilt - King/Cal-King - Truffle,BEDDING,QUILTS,TRUFFLE,STONEWASHED LINEN,KING/CAL-KING,BEDDING - QUILTS ETC.,2024 FALL,2024-09-24 00:00:00.000,ARCHIVED,ARCHIVED,329,Sampedro (EUR),133.47,155.4218109,
00004556-003-TW-M-002-B3,Ridge Bed - TW-M-002 - SR/SL,FURNITURE,BEDS,MAPLE,RIDGE,TWIN,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,340,340,
A65000-10,Frame - White Deep - 40x60,ACCENTS,ART,WHITE,ART,"40"" x 60""",ACCENTS - ART,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,0,"Simply Framed, Inc",1699,1699,
R88014-03,Shylah Area Rug - 8x10 - Flax,RUGS,AREA,FLAX,SHYLAH,8' x 10',RUGS - AREA + ROUND,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,1499,Loloi Rugs,240,240,
00004556-003-CK-M-007-B2,Ridge Bed - CK-M-007 - FB,FURNITURE,BEDS,MAPLE,RIDGE,CAL-KING,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,622,622,
C97009-01-T,Torres Round Leather Storage Ottoman - Medium - Natural - Top Only (For Replacement),FURNITURE,OTTOMANS,NATURAL,TORRES,MEDIUM,FURNITURE - STOCKED,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,0,Safari Velution (EUR),0,0,
A65093-01,Chile Desert By Hazel & Pine - 20x30 - Print Only,ACCENTS,ART,MULTI/MIXED,HAZEL & PINE,"20"" x 30""",ACCENTS - ART,UNKNOWN,2020-01-01 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,219,"Simply Framed, Inc",58.2,58.2,
P20001-39-C,Pillow Insert - 12x52,PILLOWS,INSERTS,WHITE,INSERTS,"12"" x 52""",PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Pillow Forms (Greer Diversified Enterprises),10.38,10.38,
T13005-01,Liso Throw - Cream,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
00004556-009-CK-S-007-B3,SIERRA BED - CK-S-007 - SR/SL,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,420,420,
TP53004-01,Halston Pitchers,TABLEWARE,SERVEWARE : BEVERAGE,,,,TABLEWARE,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,110,,,0,
B121010-01,Organic Resort Cotton Shams - King Set (S/2) - White,BEDDING,SHAMS,WHITE,ORGANIC RESORT COTTON,KING,BEDDING - SHEETS ETC.,2020 TURKEY,2020-10-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,99,Veritas,42.07,42.07,
R54007-02,Agata Accent Rug - 3x5,RUGS,ACCENT,,,,RUGS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P122007-02-C,Marisol Lumbar Pillow - 12x48 - Navy - Cover,PILLOWS,OVERSIZED LUMBARS,NAVY,MARISOL,"12"" x 48""",PILLOWS - OVERSIZED LUMBARS,2022 FALL - EARLY,2022-09-08 00:00:00.000,ARCHIVED,ARCHIVED,479,Y'abal,190,190,
00004556-006-FL-S-005-B1,ALPINE BED - MEDIUM - FL-S-005 - HB,FURNITURE,BEDS,,ALPINE,FULL,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,658,658,
00004556-001-TW-M-002-B2,Laurel Bed - Tall - TW-M-002 - FB,FURNITURE,BEDS,MAPLE,LAUREL,TWIN,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,298,298,
R106001-02,Akshay Area Rug - 8x10,RUGS,AREA,GREY,AKSHAY,8' x 10',RUGS - AREA + ROUND,2019 INDIA,2019-09-26 00:00:00.000,ARCHIVED,ARCHIVED,1599,Rich Class Decor,328.8,328.8,
P84055-01-C,Prisha Linen Pillow - 20x20 - Eucalyptus - Cover,PILLOWS,SQUARE,EUCALYPTUS,PRISHA,"20"" x 20""",PILLOWS - ACCENT,2024 SPRING,2024-03-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,99,Textile Artisans Guild aka Poornima,9.1,9.1,
R93038-06,Bhakti Area Rug - 8x10 - Mushroom,RUGS,AREA,MUSHROOM,BHAKTI,8' x 10',RUGS - AREA + ROUND,2024 SPRING,2024-03-21 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,899,Qayyum,152,152,
T58051-01,Esperanza Alpaca Throw - Mustard,BLANKETS,THROWS : ALPACA,MUSTARD,ESPERANZA,,BLANKETS - THROWS,2024 FALL,2024-09-24 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,189,ALLPA,64,64,
P68002-02,Etoile Mud Cloth Pillow,PILLOWS,SQUARE,,,,PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
T58002-01-GW,Paloma Alpaca Throw,BLANKETS,THROWS : ALPACA,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P56029-01-C,Claro Pillow - 20x20 - Camel - Cover,PILLOWS,SQUARE,CAMEL,CLARO,"20"" x 20""",PILLOWS - ACCENT,2019 SPRING,2019-03-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,189,Wayra,44,44,
BSK-BTY-NAT-LRG,Bounty Basket,BASKETS,STORAGE,NATURAL,BOUNTY,,BASKETS,2025 HOLIDAY,2025-10-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,504,Pollard Marketing LLC,252,252,
B86005-09-K,Stonewashed Linen Bed Bundle (S/7) - Queen - Sienna,BEDDING,BED BUNDLES,SIENNA,STONEWASHED LINEN,QUEEN,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
D125001-03,RETAIL - Mahaba Coasters - S/4 - Natural,TABLEWARE,COASTERS,NATURAL,MAHABA COASTERS,,TABLEWARE,2020 HOLIDAY,2020-10-28 00:00:00.000,ARCHIVED,ARCHIVED,59,All Across Africa,9.75,9.75,
PM1001-26,Stamped Dust Bags - 20x30 - With Handle,Z. MISCELLANEOUS,PACKAGING : DUST BAGS,WHITE,DUST BAGS,,Z. MISC,UNKNOWN,2020-01-01 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,0,Metropak Inc.,2.69,2.69,
D143017-01,Nimit Candle Holders - Sandstone - Set of 2,ACCENTS,DECORATIVE ACCESSORIES,,ESHANA,,ACCENTS - CANDLE & DEC-ACC,2024 HOLIDAY,2024-10-16 00:00:00.000,ARCHIVED,PD - CANCELLED,229,Stonemen,16.91,16.91,
00004556-002-FL-W-001-B3,Laurel Bed - Low - FL-W-001 - SR/SL,FURNITURE,BEDS,WALNUT,LAUREL,FULL,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,289,289,
B86023-08,Stonewashed Linen Bed Cover - King/Cal King - Sand Thin Stripe,BEDDING,BED BLANKETS,SAND THIN STRIPE,STONEWASHED LINEN,KING/CAL-KING,BEDDING - BED BLANKETS,2022 JUNE,2022-06-01 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,329,Sampedro (EUR),85.03,99.0148841,
R93045-01,Natali Cowhide Runner - 2.5x8 - Ivory,RUGS,RUNNERS,IVORY,NATALI,2.5' x 8',RUGS - RUNNERS,2024 FALL,2024-09-24 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,549,Qayyum,76,76,
B15222-06,Organic Stonewashed Percale Channel Quilt Shams - Standard Set (S/2) - Seaglass,BEDDING,SHAMS,SEAGLASS,ORGANIC PERCALE QUILT,,BEDDING - SHEETS ETC.,2025 FALL,,ARCHIVED,PD - CANCELLED,59,Synergy Lifestyles PVT. LTD.,15.72,15.72,
00004556-002-TW-W-004-B2,Laurel Bed - Low - TW-W-004 - FB,FURNITURE,BEDS,WALNUT,LAUREL,TWIN,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,307,307,
002560062-018-U-S-006,Hudson Bench - Walnut - Performance Linen Weave,FURNITURE,BENCHES,WALNUT,HUDSON,,FURNITURE - MTO,2025 SPRING,2025-05-07 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,1899,"Vision Contract Manufacturing, LLC",635,635,
T58027-01-GW,Catalina Boucle Throw - Tan,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P120003-06-C,Naveta Velvet Lumbar Pillow - 12x20 - Emerald,PILLOWS,SMALL LUMBARS,EMERALD,NAVETA,"12"" x 20""",PILLOWS - ACCENT,2025 FALL,2025-09-22 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,79,Raj Overseas,15.59,15.59,
P120002-06-C,Naveta Velvet Pillow - 22x22 - Emerald,PILLOWS,SQUARE,EMERALD,NAVETA,"22"" x 22""",PILLOWS - ACCENT,2025 FALL,2025-09-22 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,129,Raj Overseas,17.07,17.07,
P84071-02-C,"Ayana Block Print Pillow - Aegean - 12"" x 20""",PILLOWS,SMALL LUMBARS,AEGEAN,AYANA,"12"" x 20""",PILLOWS - ACCENT,2025 SUMMER,2025-08-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,89,Gitto,15.75,15.75,
P120010-07-C,Naveta Velvet Lumbar Pillow - 12x48 - Emerald,PILLOWS,OVERSIZED LUMBARS,EMERALD,NAVETA,"12"" x 48""",PILLOWS - OVERSIZED LUMBARS,2025 FALL,2025-09-22 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,149,Raj Overseas,19.3,19.3,
P120001-06-C,Naveta Velvet Pillow - 18x18 - Emerald,PILLOWS,SQUARE,EMERALD,NAVETA,"18"" x 18""",PILLOWS - ACCENT,2025 FALL,2025-09-22 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,99,Raj Overseas,14.79,14.79,
T58019-02-K,Ocaso Throw,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,175,,,0,
B15212-09,Stonewashed Organic Cotton Percale- Charcoal - Shams - King,BEDDING,SHAMS,CHARCOAL,ORGANIC COTTON PERCALE,KING,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,ACTIVE - ON HAND/ON ORDER,79,Synergy Lifestyles PVT. LTD.,9.8,9.8,
00004556-004-QU-S-004-B1,DRIFT BED - QU-S-004 - HB/FB,FURNITURE,BEDS,,DRIFT,QUEEN,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1208,1208,
00004556-002-CK-M-007-B3,Laurel Bed - Low - CK-M-007 - SR/SL,FURNITURE,BEDS,MAPLE,LAUREL,CAL-KING,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,348,348,
G10016-01,Natural Pillow Series - S/3,PILLOWS,SQUARE,,,,PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
D73010-01-M,Bellas Artes Mirror - Medium - Smoke - Mirror (Component),ACCENTS,MIRRORS,SMOKE,BELLAS ARTES,,ACCENTS - MIRRORS,2019 CHILE,2019-06-25 00:00:00.000,ARCHIVED,ARCHIVED,,Cerio,61.16,61.16,
R93017-01,Artha Runner - 2.5x8 - Navy,RUGS,RUNNERS,NAVY,ARTHA,2.5' x 8',RUGS - RUNNERS,2021 FALL,2021-09-14 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,429,Qayyum,52.3,52.3,
00004556-001-KI-W-007-B1,Laurel Bed - Tall - KI-W-007 - HB,FURNITURE,BEDS,WALNUT,LAUREL,KING,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1225,1225,
B121013-06,Organic Resort Cotton Pillowcases - King Set (S/2) - Slate Blue,BEDDING,PILLOWCASES,SLATE BLUE,ORGANIC RESORT COTTON,KING,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Veritas,0,0,
R93009-02,Anik Recycled Area Rug  - 5x8 - Sand,RUGS,AREA,SAND,ANIK,5' x 8',RUGS - AREA + ROUND,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
R92001-02,Saagar Dhurrie Accent Rug - 3x5,RUGS,ACCENT,BLUE,SAAGAR,3' x 5',RUGS - ACCENT,2019 INDIA,2019-09-26 00:00:00.000,ARCHIVED,ARCHIVED,279,RugHauz,75,75,
B15201-09,Stonewashed Organic Cotton Percale- Charcoal - Fitted Sheet - Full,BEDDING,FITTED SHEETS,CHARCOAL,ORGANIC COTTON PERCALE,FULL,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,99,Synergy Lifestyles PVT. LTD.,14.5,14.5,
D119005-01,Tikal Wood Serving Bowl - Small - Granadillo,TABLEWARE,SERVEWARE,GRANADILLO,TIKAL,,TABLEWARE,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,99,"Itza Wood, SA",26.8,26.8,
R120022-04,Shaastra Area Rug - 6x9,RUGS,AREA,ECRU,SHAASTRA,6' x 9',RUGS - AREA + ROUND,2022 FALL,2022-09-14 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,899,Raj Overseas,261.13,261.13,
00004556-003-CK-M-001-B1,Ridge Bed - CK-M-001 - HB,FURNITURE,BEDS,MAPLE,RIDGE,CAL-KING,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1087,1087,
R126001-02,Hayal Area Rug - 6x9,RUGS,AREA,CREAM,HAYAL,6' x 9',RUGS - AREA + ROUND,2020 HOLIDAY,2020-10-23 00:00:00.000,ARCHIVED,ARCHIVED,2799,Kirkit Rugs,1026,1026,
00004556-008-KI-S-004-B2,SUMMIT BED - KI-S-004 - FB,FURNITURE,BEDS,,SUMMIT,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,395,395,
T57004-01,Abrigo Bed Blanket - Oatmeal - Queen,BEDDING,BED BLANKETS,OATMEAL,ABRIGO,QUEEN,BEDDING - BED BLANKETS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
00004556-003-FL-M-007-B1,Ridge Bed - FL-M-007 - HB,FURNITURE,BEDS,MAPLE,RIDGE,FULL,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,930,930,
B86020-36,Stonewashed Linen- French Blue - Fitted Sheet - Cal King,BEDDING,FITTED SHEETS,FRENCH BLUE,STONEWASHED LINEN,CAL-KING,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,169,Sampedro (EUR),48.92,56.9658724,
D121004-04-Q2,Organic Plush Towels - 2 Face Towels - Cloud,BATH,TOWEL : FACE TOWEL,CLOUD,ORGANIC PLUSH,,BATH - TOWELS,2020 TURKEY,2020-10-07 00:00:00.000,ARCHIVED,ARCHIVED,28,Veritas,5.1,5.1,
00004556-005-TW-S-005-B1,ALPINE BED - LOW - TW-S-005 - HB,FURNITURE,BEDS,,ALPINE,TWIN,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,603,603,
B86011-22,Stonewashed Linen Euro Shams - 1 Sham - Indigo Chambray Wide Stripe,BEDDING,SHAMS,INDIGO CHAMBRAY WIDE STRIPE,STONEWASHED LINEN,EURO,BEDDING - SHEETS ETC.,2022 MAY,2022-05-17 00:00:00.000,ARCHIVED,ARCHIVED,89,Sampedro,13.89,13.89,
00004556-002-QU-W-002-B1,Laurel Bed - Low - QU-W-002 - HB,FURNITURE,BEDS,WALNUT,LAUREL,QUEEN,FURNITURE - MTO,2023 SPRING,2023-03-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,1042,1042,
R54003-02,Tierra Accent Rug - 2x3,RUGS,ACCENT,CREAM,TIERRA,2' x 3',RUGS - ACCENT,2016 FALL,2016-10-06 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,179,Vida Nueva (MXN),1500,75.246432065,
T58043-01,Lirio Alpaca Throw - Clay,BLANKETS,THROWS : ALPACA,CLAY,LIRIO,,BLANKETS - THROWS,2022 FALL,2022-09-14 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,189,ALLPA,69,69,
00004556-001-TW-M-007-B3,Laurel Bed - Tall - TW-M-007 - SR/SL,FURNITURE,BEDS,MAPLE,LAUREL,TWIN,FURNITURE - MTO,2024 SPRING,2024-01-30 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,323,323,
P84008-01-C,Panna Leather Lumbar Pillow - 12x20 - Natural - Cover,PILLOWS,SMALL LUMBARS,NATURAL,PANNA,"12"" x 20""",PILLOWS - ACCENT,2018 INDIA,2018-09-09 00:00:00.000,ARCHIVED,ARCHIVED,159,Bloom & Give,36.5,36.5,
B15202-10,Stonewashed Organic Cotton Percale- Terracotta - Sheet Set Full,BEDDING,SHEET SETS,TERRACOTTA,ORGANIC COTTON PERCALE,FULL,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,179,Synergy Lifestyles PVT. LTD.,34.7,34.7,
00004556-007-TW-S-007-B1,ALPINE BED - TALL - TW-S-007 - HB,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,655,655,
A65074-01,Donegal .02 by Simon Mills - 40x60 - Print Only,ACCENTS,ART,MULTI/MIXED,SIMON MILLS,"40"" x 60""",ACCENTS - ART,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,799,"Simply Framed, Inc",207.1,207.1,
P20001-24,Pillow Insert - 22x22 insert for 20x20 cover,PILLOWS,INSERTS,WHITE,INSERTS,"22"" x 22""",PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,0,Pillow Forms (Greer Diversified Enterprises),6.88,6.88,
R120003-02,Salina Accent Rug - 3x5,RUGS,ACCENT,ECRU,SALINA,3' x 5',RUGS - ACCENT,2020 FALL,2020-09-15 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,399,Master Weave Inc,100.05,100.05,
