SKU,DAILY ROS,ANNUAL UNITS
00004556-001-QU-M-002-B3,0.0,0.0
00004556-001-QU-M-003-B1,0.0,0.0
00004556-001-QU-M-003-B2,0.0,0.0
00004556-001-QU-M-003-B3,0.0,0.0
00004556-001-QU-M-004-B1,0.0,0.0
00004556-001-QU-M-004-B2,0.0,0.0
00004556-001-QU-M-004-B3,0.0,0.0
00004556-001-QU-M-005-B1,0.0,0.0
00004556-001-QU-M-005-B2,0.0,0.0
00004556-001-QU-M-005-B3,0.0,0.0
00004556-001-QU-M-006-B1,0.0,0.0
00004556-001-QU-M-006-B2,0.0,0.0
00004556-001-QU-M-006-B3,0.0,0.0
00004556-001-QU-M-007-B1,0.0,0.0
00004556-001-QU-M-007-B2,0.0,0.0
00004556-001-QU-M-007-B3,0.0,0.0
00004556-001-QU-W-001-B1,0.0,0.0
00004556-001-QU-W-001-B2,0.0,0.0
00004556-001-QU-W-001-B3,0.0,0.0
00004556-001-QU-W-002-B1,0.0,0.0
00004556-001-QU-W-002-B2,0.0,0.0
00004556-001-QU-W-002-B3,0.0,0.0
00004556-001-QU-W-003-B1,0.0,0.0
00004556-001-QU-W-003-B2,0.0,0.0
00004556-001-QU-W-003-B3,0.0,0.0
00004556-001-QU-W-004-B1,0.0,0.0
00004556-001-QU-W-004-B2,0.0,0.0
00004556-001-QU-W-004-B3,0.0,0.0
00004556-001-QU-W-005-B1,0.0,0.0
00004556-001-QU-W-005-B2,0.0,0.0
00004556-001-QU-W-005-B3,0.0,0.0
00004556-001-QU-W-006-B1,0.0,0.0
00004556-001-QU-W-006-B2,0.0,0.0
00004556-001-QU-W-006-B3,0.0,0.0
00004556-001-QU-W-007-B1,0.0,0.0
00004556-001-QU-W-007-B2,0.0,0.0
00004556-001-QU-W-007-B3,0.0,0.0
00004556-001-TW-M-001-B1,0.0,0.0
00004556-001-TW-M-001-B2,0.0,0.0
00004556-001-TW-M-001-B3,0.0,0.0
00004556-001-TW-M-002-B1,0.0,0.0
00004556-001-TW-M-002-B2,0.0,0.0
00004556-001-TW-M-002-B3,0.0,0.0
00004556-001-TW-M-003-B1,0.0,0.0
00004556-001-TW-M-003-B2,0.0,0.0
00004556-001-TW-M-003-B3,0.0,0.0
00004556-001-TW-M-004-B1,0.0,0.0
00004556-001-TW-M-004-B2,0.0,0.0
00004556-001-TW-M-004-B3,0.0,0.0
00004556-001-TW-M-005-B1,0.0,0.0
00004556-001-TW-M-005-B2,0.0,0.0
00004556-001-TW-M-005-B3,0.0,0.0
00004556-001-TW-M-006-B1,0.0,0.0
00004556-001-TW-M-006-B2,0.0,0.0
00004556-001-TW-M-006-B3,0.0,0.0
00004556-001-TW-M-007-B1,0.0,0.0
00004556-001-TW-M-007-B2,0.0,0.0
00004556-001-TW-M-007-B3,0.0,0.0
00004556-001-TW-W-001-B1,0.0,0.0
00004556-001-TW-W-001-B2,0.0,0.0
00004556-001-TW-W-001-B3,0.0,0.0
00004556-001-TW-W-002-B1,0.0,0.0
00004556-001-TW-W-002-B2,0.0,0.0
00004556-001-TW-W-002-B3,0.0,0.0
00004556-001-TW-W-003-B1,0.0,0.0
00004556-001-TW-W-003-B2,0.0,0.0
00004556-001-TW-W-003-B3,0.0,0.0
00004556-001-TW-W-004-B1,0.0,0.0
00004556-001-TW-W-004-B2,0.0,0.0
00004556-001-TW-W-004-B3,0.0,0.0
00004556-001-TW-W-005-B1,0.0,0.0
00004556-001-TW-W-005-B2,0.0,0.0
00004556-001-TW-W-005-B3,0.0,0.0
00004556-001-TW-W-006-B1,0.0,0.0
00004556-001-TW-W-006-B2,0.0,0.0
00004556-001-TW-W-006-B3,0.0,0.0
00004556-001-TW-W-007-B1,0.0,0.0
00004556-001-TW-W-007-B2,0.0,0.0
00004556-001-TW-W-007-B3,0.0,0.0
00004556-002-CK-M-001-B1,0.02,7.3
00004556-002-CK-M-001-B2,0.02,7.3
00004556-002-CK-M-001-B3,0.02,7.3
00004556-002-CK-M-002-B1,0.0,0.0
00004556-002-CK-M-002-B2,0.0,0.0
00004556-002-CK-M-002-B3,0.0,0.0
00004556-002-CK-M-003-B1,0.0,0.0
00004556-002-CK-M-003-B2,0.0,0.0
00004556-002-CK-M-003-B3,0.0,0.0
00004556-002-CK-M-004-B1,0.0,0.0
00004556-002-CK-M-004-B2,0.0,0.0
00004556-002-CK-M-004-B3,0.0,0.0
00004556-002-CK-M-005-B1,0.0,0.0
00004556-002-CK-M-005-B2,0.0,0.0
00004556-002-CK-M-005-B3,0.0,0.0
00004556-002-CK-M-006-B1,0.0,0.0
00004556-002-CK-M-006-B2,0.0,0.0
00004556-002-CK-M-006-B3,0.0,0.0
00004556-002-CK-M-007-B1,0.01,3.65
00004556-002-CK-M-007-B2,0.01,3.65
00004556-002-CK-M-007-B3,0.01,3.65
00004556-002-CK-W-001-B1,0.01,3.65
00004556-002-CK-W-001-B2,0.01,3.65
00004556-002-CK-W-001-B3,0.01,3.65
00004556-002-CK-W-002-B1,0.01,3.65
00004556-002-CK-W-002-B2,0.01,3.65
00004556-002-CK-W-002-B3,0.01,3.65
00004556-002-CK-W-003-B1,0.0,0.0
00004556-002-CK-W-003-B2,0.0,0.0
00004556-002-CK-W-003-B3,0.0,0.0
00004556-002-CK-W-004-B1,0.0,0.0
00004556-002-CK-W-004-B2,0.0,0.0
00004556-002-CK-W-004-B3,0.0,0.0
00004556-002-CK-W-005-B1,0.0,0.0
00004556-002-CK-W-005-B2,0.0,0.0
00004556-002-CK-W-005-B3,0.0,0.0
00004556-002-CK-W-006-B1,0.0,0.0
00004556-002-CK-W-006-B2,0.0,0.0
00004556-002-CK-W-006-B3,0.0,0.0
00004556-002-CK-W-007-B1,0.0,0.0
00004556-002-CK-W-007-B2,0.0,0.0
00004556-002-CK-W-007-B3,0.0,0.0
00004556-002-FL-M-001-B1,0.0,0.0
00004556-002-FL-M-001-B2,0.0,0.0
00004556-002-FL-M-001-B3,0.0,0.0
00004556-002-FL-M-002-B1,0.0,0.0
00004556-002-FL-M-002-B2,0.0,0.0
00004556-002-FL-M-002-B3,0.0,0.0
00004556-002-FL-M-003-B1,0.0,0.0
00004556-002-FL-M-003-B2,0.0,0.0
00004556-002-FL-M-003-B3,0.0,0.0
