SKU,MONTH,UNIT DEMAND,UNIT SALES
P20001-05,11/1/2025,458,489
P20001-24,11/1/2025,380,477
P20001-25,11/1/2025,345,384
P20001-23,11/1/2025,281,325
D104007-01,11/1/2025,126,302
P20001-36,11/1/2025,360,285
D104009-01,11/1/2025,136,258
D104008-01,11/1/2025,99,248
D104010-01,11/1/2025,105,168
D104011-01,11/1/2025,115,156
D104009-02,11/1/2025,91,134
R00002-05,11/1/2025,84,101
D104010-02,11/1/2025,58,100
D104011-02,11/1/2025,66,92
D104001-02,11/1/2025,103,89
D120001-05,11/1/2025,95,89
P20001-41,11/1/2025,65,87
B86002-16,11/1/2025,90,73
D104007-03,11/1/2025,41,72
D120002-04,11/1/2025,64,71
D120001-01,11/1/2025,84,70
B66002-01,11/1/2025,64,68
D121007-03,11/1/2025,35,66
P20001-35,11/1/2025,60,66
R00002-04,11/1/2025,62,66
B86007-26,11/1/2025,54,64
D120001-02,11/1/2025,81,64
T58041-01,11/1/2025,16,62
D120001-04,11/1/2025,75,60
D120008-01,11/1/2025,54,59
B86003-01,11/1/2025,56,58
D120005-01,11/1/2025,93,57
B84001-02,11/1/2025,30,56
D120001-03,11/1/2025,19,56
B86003-08,11/1/2025,55,55
D086001-05,11/1/2025,108,55
B66005-01,11/1/2025,46,55
D104008-03,11/1/2025,33,54
P120011-02-C,11/1/2025,62,53
B86002-01,11/1/2025,48,52
R00002-10,11/1/2025,54,52
B86002-27,11/1/2025,46,50
B86008-26,11/1/2025,60,50
B86008-30,11/1/2025,52,48
P120003-04-C,11/1/2025,58,47
D140023-01,11/1/2025,20,47
B86002-29,11/1/2025,37,46
B86002-26,11/1/2025,44,46
D086001-07,11/1/2025,71,46
B86003-16,11/1/2025,75,46
D140024-01,11/1/2025,20,45
D121010-03,11/1/2025,54,44
B66002-02,11/1/2025,35,44
B86012-07,11/1/2025,29,43
D143002-01,11/1/2025,27,42
D150008-01,11/1/2025,53,42
P120008-01-C,11/1/2025,70,42
P120010-04-C,11/1/2025,61,41
B86012-16,11/1/2025,45,40
B86002-08,11/1/2025,35,40
B66009-01,11/1/2025,44,40
P120019-01-C,11/1/2025,31,40
D84017-02,11/1/2025,28,39
D120007-01,11/1/2025,46,39
P120010-05-C,11/1/2025,65,39
P120002-01-C,11/1/2025,39,39
P120010-07-C,11/1/2025,40,39
B86002-09,11/1/2025,23,38
D104002-03,11/1/2025,55,38
B66004-01,11/1/2025,32,38
D129004-01,11/1/2025,37,37
D143001-01,11/1/2025,15,37
D116005-01,11/1/2025,14,37
B86007-09,11/1/2025,26,36
B86011-30,11/1/2025,42,36
P120002-04-C,11/1/2025,44,36
P120010-03-C,11/1/2025,28,36
B86012-26,11/1/2025,37,35
D104002-02,11/1/2025,34,35
B86003-05,11/1/2025,41,34
B86007-16,11/1/2025,29,34
B86013-05,11/1/2025,32,34
B86008-27,11/1/2025,30,34
D121008-03,11/1/2025,54,34
D121010-01,11/1/2025,42,34
D121007-01,11/1/2025,26,34
B145001-02,11/1/2025,66,34
D121015-03,11/1/2025,6,34
B86003-09,11/1/2025,24,33
B86002-05,11/1/2025,35,33
B131002-01,11/1/2025,7,33
B86002-10,11/1/2025,26,32
B86012-06,11/1/2025,21,32
B86010-26,11/1/2025,35,32
B86009-26,11/1/2025,28,32
B86012-30,11/1/2025,24,32
B86002-06,11/1/2025,22,32
D121009-01,11/1/2025,41,32
D121020-03,11/1/2025,20,32
C79005-01,11/1/2025,13,32
P120003-06-C,11/1/2025,33,32
B15206-01,11/1/2025,69,32
B15204-05,11/1/2025,55,32
B131002-03,11/1/2025,7,32
B86008-05,11/1/2025,31,31
B86008-08,11/1/2025,40,31
B86015-30,11/1/2025,36,31
B86012-09,11/1/2025,30,31
P120009-03-C,11/1/2025,27,31
P120002-06-C,11/1/2025,27,31
B15221-05,11/1/2025,55,31
R00002-09,11/1/2025,26,31
B86012-05,11/1/2025,33,30
B86003-29,11/1/2025,23,30
D093002-01,11/1/2025,41,30
T58023-02,11/1/2025,5,30
B86011-26,11/1/2025,36,29
B86014-30,11/1/2025,28,29
B86012-10,11/1/2025,24,29
B86008-07,11/1/2025,24,29
D143004-01,11/1/2025,19,29
D104005-01,11/1/2025,30,29
D116005-02,11/1/2025,5,29
B86007-10,11/1/2025,21,28
P56043-01-C,11/1/2025,13,28
D121017-04,11/1/2025,9,28
B15204-07,11/1/2025,121,28
D129008-01,11/1/2025,40,28
D086002-02,11/1/2025,33,27
B86013-01,11/1/2025,23,27
P56037-01-C,11/1/2025,13,27
D143003-01,11/1/2025,26,27
B145001-01,11/1/2025,89,27
B66001-01,11/1/2025,39,27
B15220-05,11/1/2025,41,27
R00002-02,11/1/2025,22,27
B86008-06,11/1/2025,16,26
B86007-05,11/1/2025,29,26
D086002-03,11/1/2025,27,26
B86008-16,11/1/2025,42,26
B86012-29,11/1/2025,25,26
P20001-28,11/1/2025,45,26
P56017-02-C,11/1/2025,10,26
F147006-01,11/1/2025,17,26
D120008-02,11/1/2025,7,26
B15204-01,11/1/2025,62,26
D143008-03,11/1/2025,31,26
R00002-01,11/1/2025,19,26
R00002-12,11/1/2025,26,26
B86003-19,11/1/2025,28,25
B86003-10,11/1/2025,19,25
B86008-09,11/1/2025,32,25
B86013-30,11/1/2025,25,25
B86015-16,11/1/2025,30,25
B86012-08,11/1/2025,31,25
B86012-01,11/1/2025,28,25
B86013-16,11/1/2025,28,25
B86007-08,11/1/2025,30,25
D140025-01,11/1/2025,7,25
D155001-04,11/1/2025,19,25
D104001-01,11/1/2025,25,25
P56072-01-C,11/1/2025,21,25
B86007-07,11/1/2025,21,24
B86015-26,11/1/2025,49,24
B86014-26,11/1/2025,48,24
B86007-30,11/1/2025,26,24
D121007-04,11/1/2025,21,24
B120007-02,11/1/2025,43,24
P56029-02-C,11/1/2025,16,24
B15218-02,11/1/2025,28,24
D121020-01,11/1/2025,24,24
B15206-04,11/1/2025,36,24
B86015-19,11/1/2025,23,23
B86014-09,11/1/2025,34,23
B86010-09,11/1/2025,20,23
B120007-01,11/1/2025,40,23
D126010-01,11/1/2025,27,23
T58032-01,11/1/2025,18,23
D121015-01,11/1/2025,25,23
D110002-01,11/1/2025,31,23
B15224-05,11/1/2025,24,23
F147003-01,11/1/2025,10,23
B86009-08,11/1/2025,22,22
B86011-08,11/1/2025,25,22
B86010-27,11/1/2025,21,22
B86002-02,11/1/2025,0,22
B86002-07,11/1/2025,26,22
P120004-01-C,11/1/2025,18,22
B15216-02,11/1/2025,42,22
D121019-03,11/1/2025,3,22
D116006-03,11/1/2025,5,22
B86015-06,11/1/2025,44,21
B86014-27,11/1/2025,13,21
B86003-27,11/1/2025,64,21
B86008-04,11/1/2025,18,21
B86007-29,11/1/2025,16,21
B86012-27,11/1/2025,23,21
B86008-10,11/1/2025,20,21
T58026-01,11/1/2025,46,21
B145002-01,11/1/2025,59,21
P84059-01-C,11/1/2025,26,21
F147008-01,11/1/2025,11,21
P84072-01-C,11/1/2025,29,21
B120001-02,11/1/2025,35,21
P84020-05-C,11/1/2025,19,21
P56048-01-C,11/1/2025,12,21
B86007-27,11/1/2025,21,20
B86010-30,11/1/2025,39,20
B86013-08,11/1/2025,24,20
B86010-07,11/1/2025,20,20
B86003-07,11/1/2025,31,20
D121010-04,11/1/2025,20,20
P56076-01-C,11/1/2025,23,20
D62020-01,11/1/2025,25,20
D84021-01,11/1/2025,23,20
B84002-01,11/1/2025,41,20
D116002-01,11/1/2025,17,20
B121025-05,11/1/2025,23,20
D121016-04,11/1/2025,12,20
D116006-02,11/1/2025,7,20
F147001-01,11/1/2025,18,20
D120007-02,11/1/2025,44,20
P120001-01-C,11/1/2025,32,20
B15206-08,11/1/2025,78,20
B15220-02,11/1/2025,23,20
B86015-04,11/1/2025,27,19
B86015-07,11/1/2025,33,19
B86009-29,11/1/2025,12,19
B86009-07,11/1/2025,20,19
B86008-32,11/1/2025,14,19
P126007-01-C,11/1/2025,16,19
B86104-01,11/1/2025,15,19
P120011-01-C,11/1/2025,27,19
P120007-01-C,11/1/2025,28,19
P56040-01-C,11/1/2025,10,19
B15219-01,11/1/2025,32,19
B66005-02,11/1/2025,44,19
P84018-05-C,11/1/2025,17,19
aqoe-rustic-spoon,11/1/2025,52,19
C11002-01,11/1/2025,10,19
P56048-02-C,11/1/2025,9,19
B86015-09,11/1/2025,34,18
B86008-29,11/1/2025,21,18
B86018-05,11/1/2025,23,18
B86013-29,11/1/2025,20,18
B86008-01,11/1/2025,22,18
B144003-02,11/1/2025,18,18
B84003-01,11/1/2025,11,18
P120018-01-C,11/1/2025,17,18
P120016-02-C,11/1/2025,17,18
T123001-02,11/1/2025,77,18
D84011-01,11/1/2025,0,18
F184005-01,11/1/2025,11,18
F147005-01,11/1/2025,9,18
D121015-04,11/1/2025,10,18
D121020-04,11/1/2025,11,18
D116006-01,11/1/2025,6,18
C97004-01,11/1/2025,2,18
B15206-07,11/1/2025,110,18
B86007-01,11/1/2025,21,17
B86007-04,11/1/2025,17,17
B86008-19,11/1/2025,14,17
B86010-05,11/1/2025,19,17
B86010-16,11/1/2025,30,17
B86013-07,11/1/2025,23,17
B86009-16,11/1/2025,16,17
B86013-10,11/1/2025,18,17
P126011-01-C,11/1/2025,29,17
P58016-02-C,11/1/2025,17,17
P56037-02-C,11/1/2025,17,17
P120014-04-C,11/1/2025,15,17
D155001-03,11/1/2025,17,17
D126010-02,11/1/2025,23,17
B83001-03,11/1/2025,20,17
B15219-02,11/1/2025,38,17
B15206-05,11/1/2025,61,17
B15204-02,11/1/2025,55,17
B15206-02,11/1/2025,50,17
B15209-05,11/1/2025,24,17
B15204-08,11/1/2025,82,17
B15224-04,11/1/2025,24,17
D129007-01,11/1/2025,37,17
B116001-01,11/1/2025,0,17
B86007-19,11/1/2025,15,16
B86014-07,11/1/2025,34,16
B86018-10,11/1/2025,10,16
D121008-04,11/1/2025,18,16
D143014-02,11/1/2025,20,16
T84009-02,11/1/2025,36,16
B84001-01,11/1/2025,28,16
P86001-01-C,11/1/2025,18,16
P120008-02-C,11/1/2025,40,16
D104002-01,11/1/2025,16,16
T58048-01,11/1/2025,16,16
P84013-01-C,11/1/2025,40,16
D121016-01,11/1/2025,26,16
C79005-02,11/1/2025,11,16
D120006-01,11/1/2025,5,16
P120001-04-C,11/1/2025,47,16
P120001-06-C,11/1/2025,17,16
B15210-05,11/1/2025,26,16
B15222-05,11/1/2025,23,16
TP70001-01-Q4,11/1/2025,23,16
P84054-05-C,11/1/2025,25,16
D110001-01,11/1/2025,20,16
C97001-01,11/1/2025,9,16
B86014-10,11/1/2025,20,15
B86014-08,11/1/2025,15,15
B86011-07,11/1/2025,37,15
B86019-16,11/1/2025,12,15
B86010-10,11/1/2025,15,15
B15216-01,11/1/2025,32,15
P84071-02-C,11/1/2025,12,15
B120004-02,11/1/2025,41,15
D84016-02,11/1/2025,19,15
B121027-07,11/1/2025,21,15
B121027-02,11/1/2025,19,15
B121018-03,11/1/2025,15,15
B121017-03,11/1/2025,11,15
T58051-01,11/1/2025,7,15
D150003-01,11/1/2025,4,15
P120008-03-C,11/1/2025,6,15
D104006-01,11/1/2025,19,15
S104001-02,11/1/2025,9,15
D104001-03,11/1/2025,10,15
P120010-02-C,11/1/2025,28,15
B15204-06,11/1/2025,53,15
P56047-01-C,11/1/2025,18,15
B86015-08,11/1/2025,27,14
B86014-29,11/1/2025,23,14
B86019-05,11/1/2025,17,14
B86015-05,11/1/2025,21,14
B86016-26,11/1/2025,10,14
B86013-27,11/1/2025,21,14
D121006-01,11/1/2025,0,14
F184006-01,11/1/2025,10,14
F184006-03,11/1/2025,9,14
R151015-06,11/1/2025,5,14
P120015-04-C,11/1/2025,13,14
P120014-02-C,11/1/2025,12,14
D104009-03,11/1/2025,44,14
B86040-02,11/1/2025,19,14
B145002-02,11/1/2025,60,14
F1470010-01,11/1/2025,23,14
P84062-01-C,11/1/2025,18,14
D056014-02,11/1/2025,16,14
B100001-02,11/1/2025,29,14
P120010-06-C,11/1/2025,34,14
B120001-01,11/1/2025,21,14
B15212-05,11/1/2025,15,14
B15210-04,11/1/2025,18,14
B15207-02,11/1/2025,25,14
B15208-01,11/1/2025,15,14
B15211-05,11/1/2025,12,14
B15220-04,11/1/2025,27,14
B116001-02,11/1/2025,0,14
D143010-03,11/1/2025,23,14
D143007-03,11/1/2025,34,14
aqoe-rustic-pouring-lg,11/1/2025,37,14
B86025-02,11/1/2025,20,14
B131001-01,11/1/2025,8,14
D141001-09,11/1/2025,0,14
B86014-16,11/1/2025,21,13
B86014-19,11/1/2025,26,13
D086001-02,11/1/2025,23,13
B86001-05,11/1/2025,7,13
B86011-19,11/1/2025,19,13
B86011-10,11/1/2025,15,13
B86018-09,11/1/2025,13,13
B86001-04,11/1/2025,5,13
B86011-06,11/1/2025,17,13
B86012-19,11/1/2025,24,13
B86011-16,11/1/2025,20,13
B86009-05,11/1/2025,14,13
B86013-06,11/1/2025,11,13
B86013-09,11/1/2025,20,13
B86007-31,11/1/2025,16,13
B86013-32,11/1/2025,7,13
D119021-01,11/1/2025,15,13
P56035-02-C,11/1/2025,9,13
D74004-01,11/1/2025,6,13
B121016-03,11/1/2025,15,13
B121025-03,11/1/2025,22,13
D150005-02,11/1/2025,14,13
D150003-02,11/1/2025,4,13
D126001-08,11/1/2025,18,13
P20001-31,11/1/2025,21,13
P141010-01-C,11/1/2025,12,13
R93019-03,11/1/2025,8,13
P126013-01-C,11/1/2025,9,13
B15218-01,11/1/2025,21,13
P120009-02-C,11/1/2025,22,13
P120003-02-C,11/1/2025,23,13
P120003-01-C,11/1/2025,26,13
R88024-02,11/1/2025,1,13
B120002-01,11/1/2025,0,13
B15207-05,11/1/2025,23,13
B15221-02,11/1/2025,14,13
T56007-01,11/1/2025,13,13
T139004-01,11/1/2025,27,13
B86026-03,11/1/2025,25,13
P56062-02-C,11/1/2025,6,13
B131001-02,11/1/2025,9,13
B86014-04,11/1/2025,26,12
B86015-10,11/1/2025,19,12
B86016-08,11/1/2025,8,12
D86001-08,11/1/2025,12,12
B86009-01,11/1/2025,15,12
B86007-06,11/1/2025,14,12
B86019-10,11/1/2025,10,12
B86008-18,11/1/2025,3,12
B144004-02,11/1/2025,22,12
B120006-02,11/1/2025,29,12
B120004-01,11/1/2025,25,12
B84003-02,11/1/2025,14,12
T56004-01,11/1/2025,5,12
P56037-04-C,11/1/2025,9,12
P120015-01-C,11/1/2025,11,12
P120012-01-C,11/1/2025,15,12
P84074-01-C,11/1/2025,21,12
D143005-01,11/1/2025,21,12
D143014-08,11/1/2025,20,12
P123009-03-C,11/1/2025,23,12
T58031-01,11/1/2025,12,12
D129002-01,11/1/2025,16,12
D121019-01,11/1/2025,29,12
P84073-01-C,11/1/2025,45,12
B66009-03,11/1/2025,25,12
D148004-01,11/1/2025,15,12
B120009-01,11/1/2025,12,12
B15206-06,11/1/2025,45,12
D143013-03,11/1/2025,9,12
aqoe-rustic-pouring-sm,11/1/2025,34,12
D74002-02-K,11/1/2025,32,12
B86026-02,11/1/2025,16,12
B86025-03,11/1/2025,19,12
B86014-01,11/1/2025,15,11
B86014-06,11/1/2025,27,11
D086002-01,11/1/2025,10,11
B86018-01,11/1/2025,9,11
B86013-26,11/1/2025,38,11
B86010-08,11/1/2025,24,11
B86011-04,11/1/2025,14,11
B86010-19,11/1/2025,12,11
B86011-09,11/1/2025,28,11
B86016-01,11/1/2025,10,11
R120005-01,11/1/2025,6,11
P126008-01-C,11/1/2025,25,11
B144003-04,11/1/2025,11,11
B144003-03,11/1/2025,8,11
T84008-02,11/1/2025,27,11
B120006-01,11/1/2025,17,11
R54013-01,11/1/2025,7,11
T56004-02,11/1/2025,19,11
P56049-02-C,11/1/2025,9,11
P56046-01-C,11/1/2025,13,11
B121019-05,11/1/2025,9,11
B121027-06,11/1/2025,11,11
P120015-02-C,11/1/2025,9,11
P120014-01-C,11/1/2025,13,11
D155001-01,11/1/2025,13,11
T58051-02,11/1/2025,0,11
D150005-01,11/1/2025,13,11
D150006-01,11/1/2025,3,11
D104003-01,11/1/2025,8,11
S104004-01,11/1/2025,3,11
S104001-01,11/1/2025,9,11
D126001-07,11/1/2025,6,11
B86039-01,11/1/2025,17,11
B86040-01,11/1/2025,14,11
D129002-02,11/1/2025,23,11
D116001-03,11/1/2025,13,11
D120006-02,11/1/2025,2,11
P120001-02-C,11/1/2025,23,11
P120003-05-C,11/1/2025,24,11
B15204-03,11/1/2025,42,11
B15221-04,11/1/2025,22,11
TP70002-01-Q4,11/1/2025,14,11
P84070-05-C,11/1/2025,20,11
C11002-02,11/1/2025,9,11
B86025-01,11/1/2025,16,11
B86037-01,11/1/2025,14,11
P123010-01-C,11/1/2025,7,11
D115006-01,11/1/2025,7,11
F137001-07,11/1/2025,7,11
D141001-05,11/1/2025,2,11
B86001-27,11/1/2025,8,10
B86018-26,11/1/2025,7,10
B86002-19,11/1/2025,20,10
B86013-04,11/1/2025,9,10
B86019-26,11/1/2025,7,10
B86003-26,11/1/2025,38,10
B144003-01,11/1/2025,12,10
R93012-04,11/1/2025,10,10
B60009-01,11/1/2025,11,10
P15001-01-C,11/1/2025,37,10
D125002-02,11/1/2025,1,10
P56035-01-C,11/1/2025,10,10
P56049-01-C,11/1/2025,16,10
B121026-14,11/1/2025,18,10
B121017-02,11/1/2025,6,10
B121026-10,11/1/2025,8,10
P120012-04-C,11/1/2025,11,10
P120013-04-C,11/1/2025,10,10
D155001-06,11/1/2025,12,10
sku-47373920469219,11/1/2025,69,10
D123002-03,11/1/2025,2,10
P123006-05-C,11/1/2025,7,10
P123008-01-C,11/1/2025,2,10
T58030-02,11/1/2025,10,10
F147007-01,11/1/2025,7,10
D84008-01,11/1/2025,0,10
D121018-01,11/1/2025,25,10
P56073-01-C,11/1/2025,5,10
P120002-05-C,11/1/2025,22,10
B120003-02,11/1/2025,25,10
B120008-02,11/1/2025,20,10
B120008-01,11/1/2025,21,10
B15204-04,11/1/2025,42,10
B15209-07,11/1/2025,14,10
B15207-01,11/1/2025,27,10
B15207-08,11/1/2025,31,10
B15223-05,11/1/2025,14,10
P84055-02-C,11/1/2025,7,10
P84054-04-C,11/1/2025,25,10
P84070-04-C,11/1/2025,19,10
P84044-05-C,11/1/2025,0,10
D143012-03,11/1/2025,19,10
D143009-03,11/1/2025,23,10
T139002-01,11/1/2025,29,10
T139006-01,11/1/2025,32,10
D115006-02,11/1/2025,4,10
P56060-02-C,11/1/2025,12,10
F137001-06,11/1/2025,7,10
D086001-06,11/1/2025,61,9
B86015-27,11/1/2025,12,9
B86015-01,11/1/2025,17,9
B86012-04,11/1/2025,22,9
B86018-30,11/1/2025,5,9
B86009-04,11/1/2025,18,9
B86001-30,11/1/2025,5,9
B86009-09,11/1/2025,17,9
B86010-06,11/1/2025,11,9
B86013-19,11/1/2025,13,9
B86012-33,11/1/2025,7,9
B86022-32,11/1/2025,13,9
B86012-02,11/1/2025,0,9
B86007-02,11/1/2025,0,9
B86003-04,11/1/2025,21,9
B86011-27,11/1/2025,21,9
B86010-29,11/1/2025,15,9
B86009-19,11/1/2025,13,9
TAPTST9ANT,11/1/2025,29,9
P84016-01-C,11/1/2025,9,9
R120005-06,11/1/2025,5,9
B144004-01,11/1/2025,19,9
P56075-01-C,11/1/2025,0,9
F184006-02,11/1/2025,4,9
F184006-04,11/1/2025,2,9
TP13009-01-Q6,11/1/2025,7,9
TP13010-01-Q6,11/1/2025,22,9
T58026-02,11/1/2025,17,9
D73008-02,11/1/2025,6,9
B86104-02,11/1/2025,0,9
P56029-01-C,11/1/2025,22,9
B121025-02,11/1/2025,12,9
B121025-06,11/1/2025,13,9
D090008-01,11/1/2025,0,9
P84011-01-C,11/1/2025,9,9
P84074-02-C,11/1/2025,16,9
R93043-02,11/1/2025,1,9
P123006-02-C,11/1/2025,10,9
P123006-01-C,11/1/2025,15,9
P123009-01-C,11/1/2025,19,9
D120009-01,11/1/2025,20,9
P84072-02-C,11/1/2025,12,9
F148002-01-B1,11/1/2025,5,9
F148002-01-B2,11/1/2025,5,9
P120002-02-C,11/1/2025,23,9
B15210-02,11/1/2025,21,9
B15209-04,11/1/2025,13,9
B15210-06,11/1/2025,8,9
aqoe-rustic-dipping,11/1/2025,25,9
C11001-01,11/1/2025,10,9
B86038-02,11/1/2025,8,9
P56064-01-C,11/1/2025,9,9
D119011-02,11/1/2025,12,9
C97002-01,11/1/2025,4,9
P61001-02-C,11/1/2025,7,9
B86014-05,11/1/2025,19,8
B86002-32,11/1/2025,30,8
B86016-05,11/1/2025,5,8
B86015-31,11/1/2025,24,8
B86001-08,11/1/2025,5,8
B86002-04,11/1/2025,24,8
B86001-19,11/1/2025,4,8
B86014-32,11/1/2025,11,8
B86016-30,11/1/2025,5,8
B86018-07,11/1/2025,9,8
B86010-31,11/1/2025,17,8
B86021-32,11/1/2025,15,8
B86010-32,11/1/2025,8,8
B86019-29,11/1/2025,6,8
B86001-10,11/1/2025,3,8
B86100-18,11/1/2025,1,8
P120006-01-C,11/1/2025,18,8
B144004-03,11/1/2025,15,8
R93012-03,11/1/2025,6,8
R93012-01,11/1/2025,3,8
T84011-02,11/1/2025,23,8
01027841-013-U-A-001,11/1/2025,4,8
B121016-05,11/1/2025,13,8
B121026-11,11/1/2025,9,8
P120012-02-C,11/1/2025,11,8
P120013-02-C,11/1/2025,5,8
D157001-01,11/1/2025,10,8
P84066-01-C,11/1/2025,8,8
P120008-04-C,11/1/2025,8,8
B86039-02,11/1/2025,16,8
P126010-01-C,11/1/2025,35,8
P56017-03-C,11/1/2025,19,8
P56044-01-C,11/1/2025,10,8
D121017-01,11/1/2025,26,8
P56032-01-C,11/1/2025,5,8
B66006-01,11/1/2025,33,8
B66001-02,11/1/2025,39,8
P81008-01-C,11/1/2025,24,8
P120009-01-C,11/1/2025,14,8
P120001-03-C,11/1/2025,13,8
B120003-01,11/1/2025,17,8
F147002-01,11/1/2025,3,8
B15209-06,11/1/2025,11,8
B15207-04,11/1/2025,13,8
B15208-06,11/1/2025,8,8
P54006-01-C,11/1/2025,4,8
P84054-02-C,11/1/2025,14,8
D143011-03,11/1/2025,22,8
R120045-06,11/1/2025,8,8
B86030-02,11/1/2025,10,8
B86038-01,11/1/2025,10,8
B86030-03,11/1/2025,12,8
P56062-01-C,11/1/2025,7,8
D119016-01,11/1/2025,5,8
C97005-01,11/1/2025,5,8
F97014-01,11/1/2025,1,8
P56060-01-C,11/1/2025,19,8
D143014-01,11/1/2025,20,8
R141011-01,11/1/2025,1,8
B86015-29,11/1/2025,16,7
B86015-33,11/1/2025,27,7
B86015-32,11/1/2025,17,7
B86019-30,11/1/2025,5,7
B86018-19,11/1/2025,7,7
B86001-26,11/1/2025,5,7
B86018-08,11/1/2025,8,7
B86013-31,11/1/2025,12,7
B86018-16,11/1/2025,13,7
B86018-06,11/1/2025,6,7
B86019-09,11/1/2025,7,7
B86014-02,11/1/2025,0,7
B86010-02,11/1/2025,0,7
B86003-06,11/1/2025,21,7
B86009-30,11/1/2025,28,7
B86009-10,11/1/2025,11,7
R141025-06,11/1/2025,4,7
TAPTST9BUR,11/1/2025,21,7
TP13008-01-Q6,11/1/2025,9,7
R93032-06,11/1/2025,5,7
R93012-02,11/1/2025,4,7
T84010-02,11/1/2025,17,7
F151002-01,11/1/2025,4,7
P84056-04-C,11/1/2025,16,7
P84071-01-C,11/1/2025,5,7
B120005-02,11/1/2025,26,7
D84017-01,11/1/2025,12,7
D84016-01,11/1/2025,9,7
D116002-02,11/1/2025,6,7
D125003-02,11/1/2025,0,7
T58003-01,11/1/2025,0,7
D74004-02,11/1/2025,3,7
B121027-04,11/1/2025,10,7
P120013-01-C,11/1/2025,7,7
D150004-02,11/1/2025,1,7
D103001-03,11/1/2025,16,7
B86041-02,11/1/2025,9,7
D123002-02,11/1/2025,0,7
P123001-04-C,11/1/2025,13,7
P123002-01-C,11/1/2025,11,7
F147004-01,11/1/2025,6,7
D84020-02,11/1/2025,0,7
B83001-06,11/1/2025,4,7
P120007-02-C,11/1/2025,14,7
D129001-01,11/1/2025,20,7
F148003-01,11/1/2025,17,7
D121018-03,11/1/2025,3,7
P120010-01-C,11/1/2025,23,7
B120009-02,11/1/2025,16,7
B15210-01,11/1/2025,16,7
B15209-01,11/1/2025,15,7
B15212-07,11/1/2025,17,7
B15211-04,11/1/2025,7,7
B15223-04,11/1/2025,9,7
P056072-01-C,11/1/2025,18,7
P84054-03-C,11/1/2025,14,7
R93006-02,11/1/2025,8,7
B86026-01,11/1/2025,15,7
P84069-01-C,11/1/2025,7,7
P84067-01-C,11/1/2025,5,7
P126014-01-C,11/1/2025,10,7
R88011-03,11/1/2025,1,7
C97007-02,11/1/2025,5,7
F97010-02,11/1/2025,1,7
B131002-02,11/1/2025,6,7
R93003-05,11/1/2025,0,7
D143014-07,11/1/2025,11,7
D129003-02,11/1/2025,10,7
P84075-01-C,11/1/2025,39,7
B86019-08,11/1/2025,12,6
B86016-06,11/1/2025,5,6
B86001-29,11/1/2025,5,6
D86001-10,11/1/2025,10,6
B86001-31,11/1/2025,3,6
B86016-07,11/1/2025,5,6
B86017-05,11/1/2025,6,6
B86019-07,11/1/2025,10,6
B86018-33,11/1/2025,3,6
B86011-32,11/1/2025,8,6
B86007-32,11/1/2025,10,6
B86009-27,11/1/2025,18,6
B86008-02,11/1/2025,5,6
B86009-02,11/1/2025,0,6
TAPTST9EUC,11/1/2025,25,6
P126007-03-C,11/1/2025,9,6
R120005-02,11/1/2025,3,6
D121008-01,11/1/2025,42,6
R121001-02,11/1/2025,7,6
R93016-01,11/1/2025,7,6
T84012-02,11/1/2025,17,6
R88005-02,11/1/2025,1,6
F151001-01,11/1/2025,4,6
P056076-01-C,11/1/2025,13,6
D84022-01,11/1/2025,7,6
B120005-01,11/1/2025,22,6
R93039-01,11/1/2025,2,6
0118316-011-SM-S-004,11/1/2025,5,6
P120016-01-C,11/1/2025,6,6
B121027-03,11/1/2025,9,6
B121026-09,11/1/2025,14,6
B121015-04,11/1/2025,10,6
B121016-02,11/1/2025,8,6
B121018-02,11/1/2025,5,6
B121017-05,11/1/2025,10,6
B121019-03,11/1/2025,7,6
T12002-02,11/1/2025,0,6
D116004-01,11/1/2025,0,6
D155001-02,11/1/2025,11,6
D104007-02,11/1/2025,36,6
B13401-01,11/1/2025,0,6
P123006-04-C,11/1/2025,10,6
P123011-04-C,11/1/2025,5,6
P123009-02-C,11/1/2025,19,6
T58050-01,11/1/2025,0,6
P56044-03-C,11/1/2025,3,6
D97001-01,11/1/2025,5,6
D121015-02,11/1/2025,3,6
D121016-02,11/1/2025,2,6
D116001-02,11/1/2025,5,6
D62001-01,11/1/2025,5,6
R61011-02,11/1/2025,2,6
P120002-03-C,11/1/2025,13,6
P120003-03-C,11/1/2025,19,6
B120002-02,11/1/2025,0,6
R88020-03,11/1/2025,3,6
B15209-08,11/1/2025,21,6
B15211-06,11/1/2025,7,6
B15206-03,11/1/2025,27,6
B15209-02,11/1/2025,16,6
B15215-02,11/1/2025,8,6
B15203-02,11/1/2025,7,6
B15211-07,11/1/2025,10,6
B15222-04,11/1/2025,10,6
R93040-06,11/1/2025,4,6
P84055-05-C,11/1/2025,14,6
P84043-02-C,11/1/2025,4,6
aqoe-rustic-vase,11/1/2025,9,6
C11001-02,11/1/2025,10,6
R120045-05,11/1/2025,3,6
R88001-05,11/1/2025,0,6
sku-47373934330083,11/1/2025,66,6
R88011-01,11/1/2025,1,6
D115006-03,11/1/2025,4,6
D119015-01,11/1/2025,4,6
D119017-01,11/1/2025,1,6
C97007-03,11/1/2025,3,6
C97005-02,11/1/2025,3,6
B86014-33,11/1/2025,27,5
B86008-31,11/1/2025,18,5
B86001-01,11/1/2025,6,5
B86016-19,11/1/2025,3,5
