Estimate Ship Date Date,Estimate ECSD Date,SKU,SKU Description,Expected Shipment Quantity
12/14/25,12/30/25,B120006-02,Ayla Organic Cotton Quilt - King/Cal King - Aegean,66
12/14/25,12/30/25,P120011-01-C,Jangal Pillow - 20x20 - Teak,66
12/14/25,12/30/25,B120007-02,Ayla Organic Cotton Quilt - King/Cal King - Aubergine,66
12/12/25,12/26/25,D104006-01,Hinoki Wood Mirror,81
12/14/25,12/30/25,D120005-01,Amala Jute Wall Hanging - Natural,90
12/26/25,1/1/26,T139005-01,Delaney Mohair Throw - Cocoa,100
12/12/25,12/26/25,S104001-02,Hinoki Wood Side Table - Round,100
12/12/25,12/26/25,D104002-01,Hinoki Wood Bath Runner,100
12/12/25,12/26/25,D104005-01,Hinoki Wood Bath Caddy,100
12/12/25,12/26/25,D104002-02,Hinoki Wood Bath Mat - Large,100
12/12/25,12/26/25,D104001-02,Hinoki Wood Floor Mirror - Standard,100
12/26/25,1/1/26,T139004-01,Rowan Mohair Throw - Sage,101
12/26/25,1/1/26,T139002-01,Rowan Mohair Throw - Sand,103
12/26/25,1/1/26,T139007-01,Mullins Mohair Throw - Sage,120
12/26/25,1/1/26,T139006-01,Rowan Mohair Throw - Currant,120
12/12/25,12/26/25,D104002-03,Hinoki Wood Bath Mat - Medium,125
12/14/25,12/30/25,P120011-02-C,Jangal Lumbar Pillow -12x48 - Teak,133
12/12/25,12/26/25,D104008-01,"Imabari Waffle Towel - Bath, Light Grey",300
12/12/25,12/26/25,D104011-01,"Imabari Waffle Towel - Bath, Olive",300
12/12/25,12/26/25,D104007-01,"Imabari Waffle Towel - Bath, White",300
12/12/25,12/26/25,D104010-01,"Imabari Waffle Towel - Bath, Natural",300
12/12/25,12/26/25,D104012-01,Imabari Waffle Towels - 1 Bath Towel - Seaglass,300
12/12/25,12/26/25,D104009-01,"Imabari Waffle Towel - Bath, Indigo",370
12/12/25,12/26/25,D104012-03,Imabari Waffle Towels - 1 Face Towel - Seaglass,500
12/12/25,12/26/25,D104012-02,Imabari Waffle Towels - 1 Hand Towel - Seaglass,500
12/12/25,12/26/25,D104008-03,"Imabari Waffle Towel - Face, Light Grey",500
12/12/25,12/26/25,D104010-02,"Imabari Waffle Towel - Hand, Natural",500
12/12/25,12/26/25,D104011-02,"Imabari Waffle Towel - Hand, Olive",500
